 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
f	0.97466	0.024148839	0.0008377742	0.0003275153	2.0965448e-05	1.6522824e-06	2.2324318e-06	9.980092e-07
è	0.973865	0.025278136	0.00069171423	0.00014977841	1.408001e-05	8.8366227e-07	2.0093329e-07	3.0282584e-07
o	0.953868	0.046088383	3.680618e-05	2.591344e-06	1.0679238e-06	3.1334457e-06	7.780387e-09	9.168936e-09
p	0.040688768	0.93128157	0.026809027	0.0010507054	6.161785e-05	9.808864e-05	1.9248077e-06	8.26196e-06
p	0.057221543	0.50050247	0.3579663	0.07573837	0.006747938	0.0010297117	0.0002883224	0.00050532806
ò	0.050748877	0.7275694	0.1438441	0.069888204	0.0073078	0.00039396255	5.3467345e-05	0.00019425378
r	0.021341387	0.92709523	0.04069831	0.0026977344	0.0036163286	0.0045381035	5.327747e-06	7.5518324e-06
k	0.003910933	0.22880197	0.6506726	0.097556315	0.012901244	0.0036426678	0.001269268	0.0012449252
e	0.00095758395	0.08641164	0.75402826	0.1341819	0.016642934	0.0050763884	0.0014595814	0.0012417231
t	0.004223906	0.036196213	0.6861528	0.17692976	0.032403205	0.06275016	0.00051257893	0.0008313018
e	5.791432e-05	0.0055813645	0.7777729	0.18355308	0.020781038	0.0032663976	0.0019014537	0.0070858775
e	0.02842161	0.0027243104	0.3665015	0.46829095	0.08549698	0.044323914	0.001644846	0.002595854
t	0.04186296	0.0017740107	0.06918702	0.695748	0.11882389	0.06172617	0.0024814731	0.008396541
r	5.509357e-05	4.496452e-05	0.07294451	0.67759925	0.15945344	0.030113725	0.01931455	0.040474553
ò	1.2069864e-06	9.0062997e-07	0.0072125546	0.6091975	0.29916155	0.020683685	0.01812444	0.045618232
o	0.00061328145	8.708916e-05	0.0022859105	0.18696405	0.62539107	0.17112353	0.005014365	0.008520788
p	0.00084643514	7.2744064e-05	0.0002670441	0.053390566	0.57193667	0.27696773	0.022825576	0.073693246
ò	2.3664488e-05	3.780024e-05	0.0034048182	0.08706527	0.36008963	0.13453874	0.12623687	0.28860325
s	0.011469938	0.00033946987	7.3582894e-05	0.006303135	0.3793992	0.45886427	0.07817691	0.06537353
s	2.5587435e-06	8.7356975e-06	0.00044453001	0.015346746	0.17288521	0.4553468	0.09067201	0.26529333
a	1.067763e-05	2.2077866e-06	1.0442984e-05	0.0012561817	0.049697004	0.04628843	0.584271	0.31846404
t	0.0074118893	0.00087204855	0.00034020472	0.0024015703	0.009890831	0.0118946275	0.5114504	0.45573843
è	6.576166e-05	2.124845e-05	1.403221e-05	0.00018326614	0.002381046	0.008151215	0.54723054	0.44195285
l	0.044029467	0.003790453	0.0005217724	0.0012117466	0.0027649999	0.002223707	0.48371324	0.46174464
o	8.627934e-06	4.615473e-05	0.00013890243	0.00023694217	0.010959507	0.30683115	0.3206719	0.3611068
</S>	0.01649793	0.006347527	0.0020188093	0.005074957	0.002508905	0.0008110728	0.12879449	0.83794636
