 	stava	ancora	cucinando	</S>
ì	0.98815477	0.011497841	0.00019787959	0.00014943547
s	0.99852693	0.0014648972	4.689654e-06	3.4909292e-06
t	0.85042703	0.13367572	0.0050375033	0.010859703
i	0.99884474	0.0011502949	1.4606564e-06	3.4637778e-06
g	0.98042035	0.018206196	0.00042167088	0.00095171196
g	0.21769682	0.7742169	0.0021505253	0.0059357467
h	0.19563372	0.8024506	0.00082841347	0.0010872832
e	0.073169045	0.9233531	0.0017015379	0.0017764409
a	0.06179605	0.90585387	0.031682134	0.0006678585
n	0.007857961	0.954254	0.03509344	0.0027945903
k	0.0008495096	0.9859161	0.0033165605	0.009917752
ò	0.00043270172	0.10354438	0.22044745	0.67557544
r	0.0003636476	0.04036582	0.5053694	0.45390105
a	0.00033656476	0.991264	0.005676818	0.0027226761
m	0.0022911073	0.028357485	0.9150435	0.054307934
a	0.00061873876	0.7139835	0.068284206	0.21711357
r	0.003985891	0.007817284	0.95729744	0.030899359
è	0.00020959081	0.036712036	0.12983511	0.83324325
o	0.00066662923	0.0026575148	0.9617146	0.034961153
n	0.0035654732	0.0022763298	0.5027227	0.49143556
t	7.856343e-05	0.027645918	0.2596694	0.7126061
a	9.5240075e-06	0.00019546853	0.051054146	0.94874084
</S>	0.002884548	0.00081631634	0.05880531	0.93749386
