 	non	mi	aspetti	che	non	vengo	</S>
m	0.9764466	0.023375373	0.00016390903	1.2277395e-05	8.800259e-07	6.3681205e-07	3.9926834e-07
ì	0.0006942435	0.076652	0.8419087	0.0797476	0.0008866381	6.109981e-05	4.9806516e-05
m	0.9939328	0.004556205	0.0012645008	0.0002025064	3.828175e-05	2.374205e-06	3.3471538e-06
e	0.009747047	0.6468672	0.26461184	0.0714925	0.0051410496	0.00017352516	0.0019669645
m	0.73994404	0.18056232	0.061817005	0.00863092	0.008669065	0.00026249932	0.00011417386
ì	0.00020636951	0.013653215	0.84272754	0.14010882	0.0032004241	3.7134843e-05	6.642946e-05
n	0.014769514	0.054397468	0.1323817	0.17956592	0.61392134	0.0040538674	0.00091021584
i	0.0009213972	0.8378819	0.103963554	0.05504596	0.0013090849	0.00013207842	0.0007460257
k	0.00026082425	0.00023917442	0.19601187	0.64487463	0.15332007	0.003317014	0.0019764227
a	5.9837825e-05	0.01780339	0.28894323	0.6533107	0.035091754	0.0018140761	0.0029770925
e	0.0037714045	4.6024856e-05	0.0031897246	0.1479653	0.8371162	0.0052512763	0.0026601085
n	9.6635704e-05	4.902717e-05	0.007552945	0.696927	0.27378383	0.011581735	0.010008794
è	7.1809136e-06	0.00042259812	0.025455043	0.6123706	0.2583738	0.044654373	0.058716442
r	0.36118338	0.00042437125	5.2932905e-05	0.0064281565	0.57620114	0.029372528	0.0263375
k	2.5666113e-06	0.00013584594	0.010455648	0.8615942	0.03291888	0.011597788	0.083295055
o	2.5492782e-05	0.00081760745	0.00071616	0.053548925	0.14207368	0.4042388	0.39857936
m	0.022725035	0.0015213272	0.0012102594	0.0031604897	0.26734596	0.37989914	0.32413778
e	0.0016684964	0.0021633953	0.019293131	0.0831889	0.045256205	0.107591614	0.7408383
</S>	0.92359877	0.0014465492	0.00010487925	2.7400121e-05	0.017675057	0.022530485	0.034616776
