 	se	vuoi	restare	sempre	magro	non	magniare	la	sera	</S>
a	0.9858468	0.014114965	3.2301356e-05	5.2256037e-06	5.448263e-07	5.6801174e-08	2.9266133e-08	3.2971124e-09	3.741017e-09	3.0507965e-09
t	0.0019846656	0.9957182	0.0022946463	1.9932115e-06	3.778955e-07	1.0670444e-07	2.2459917e-08	1.7104929e-08	2.0992832e-09	3.153263e-08
e	0.09307495	0.8872821	0.018170582	0.001232827	0.00019837069	2.893744e-05	1.0442116e-05	1.1105822e-06	1.3152207e-07	4.814706e-07
l	0.00017267842	0.9379335	0.061804686	8.4666804e-05	3.2394346e-06	1.1371974e-06	1.7893055e-07	3.3721608e-09	1.6147162e-08	3.7827976e-09
ì	0.049509726	0.7912375	0.13461386	0.01919024	0.004446222	0.0007616498	0.00016990134	4.1761617e-05	2.3303758e-06	2.6892705e-05
s	0.000544671	0.26137677	0.7361051	0.0013780209	0.0002617844	0.0002727554	5.812528e-05	2.1975677e-06	2.9295677e-07	3.5202453e-07
i	0.010657719	0.8407345	0.13961034	0.006144665	0.002735499	3.6831876e-05	5.464474e-05	3.8190674e-06	2.12352e-06	1.991575e-05
n	0.0001484777	0.28091148	0.6985608	0.016685601	0.002080137	0.0014610337	0.00013983058	8.966152e-06	1.3449721e-06	2.3290863e-06
a	0.004542331	0.6444919	0.24212672	0.08071356	0.02504129	0.0019034417	0.0009376912	0.00012648586	6.532961e-06	0.000110052446
m	0.0011565046	0.019005712	0.9231335	0.050868545	0.004341353	0.001296606	0.00018777796	5.253616e-06	1.6146336e-06	3.1181285e-06
ì	0.009391453	0.025860077	0.69316095	0.21625221	0.046518806	0.0062569096	0.001870338	0.0003435172	2.6562107e-05	0.00031920295
n	0.006056355	0.008673169	0.93744004	0.04091718	0.004937752	0.0016607221	0.00030110028	7.817137e-06	1.995326e-06	3.959723e-06
i	0.0048344154	0.22698723	0.543772	0.15933305	0.060490943	0.0021659106	0.0018443901	0.00020022124	3.4208406e-05	0.00033767542
p	0.0072789844	0.0021155102	0.2771982	0.6136503	0.07615583	0.019781549	0.003586168	0.00014266354	1.9991967e-05	7.082416e-05
à	0.0058696074	0.00089964597	0.061175082	0.70665395	0.19809993	0.017311562	0.0073470855	0.0012857028	8.93416e-05	0.0012681138
n	0.009360803	0.0056801	0.022255655	0.80720574	0.12001418	0.029391535	0.0058042672	0.00012841458	4.6763435e-05	0.000112516725
t	6.609914e-05	0.0001245525	0.09859443	0.5407991	0.33557275	0.008890515	0.011674755	0.0012476287	0.000337962	0.002692227
a	0.00209534	2.0812418e-05	0.0012310985	0.5772727	0.27799994	0.089472644	0.04005343	0.0054273363	0.0011033771	0.0053233467
l	0.0026738825	0.00018001442	0.00011513284	0.44217822	0.33714908	0.17189151	0.04367246	0.0014130054	0.00017738792	0.0005492573
e	0.000999883	6.195636e-05	0.0003761861	0.59028476	0.36054626	0.022765307	0.013766859	0.0055555706	0.00083306263	0.004810193
t	0.041377597	0.0044045364	2.59716e-05	0.11812712	0.41842374	0.31472218	0.099115066	0.0021402074	0.0007206876	0.0009429535
t	0.00062985276	5.0326653e-06	1.721031e-05	0.26130164	0.4831099	0.14811026	0.07387282	0.013078657	0.0024923424	0.017382214
ò	0.00017110586	8.253356e-07	1.3799537e-06	0.038128793	0.361121	0.33524603	0.19151136	0.029872712	0.010557594	0.03338917
m	0.00019130117	0.00030846175	9.871519e-06	0.019433616	0.30702442	0.47025722	0.19257472	0.0061788033	0.0019221526	0.0020994789
i	4.6481824e-07	1.5802441e-06	4.9790313e-05	0.10910702	0.787404	0.014037027	0.0493382	0.014672121	0.009939372	0.015450394
f	0.0002605652	0.00018055366	7.727023e-06	0.0005574188	0.08784496	0.46541432	0.38550067	0.039845325	0.0069615548	0.013426928
à	0.00025276237	6.470151e-05	8.581897e-05	0.028802875	0.59765214	0.0638004	0.11544632	0.091439195	0.018459698	0.08399612
i	0.0041322606	0.038410623	0.00012566193	0.0012482471	0.046532646	0.33657867	0.44725928	0.06753139	0.030743241	0.027437957
t	3.8590755e-05	0.00011107425	2.2171376e-05	0.0002425326	0.016775263	0.21112381	0.53137857	0.13212244	0.043833002	0.06435254
o	8.181293e-05	1.3047878e-05	1.0222715e-06	0.00022887395	0.0761397	0.064776875	0.2378591	0.27218714	0.16883925	0.17987315
v	0.00013506348	0.00083068793	7.43491e-05	0.0003064598	0.0014653238	0.04008835	0.13120595	0.28431794	0.3742553	0.1673205
r	0.00040419385	4.323209e-05	4.980966e-06	0.0003056805	0.013719608	0.012222389	0.09870321	0.23088098	0.17194441	0.4717713
à	5.366868e-06	1.3675369e-06	2.6698783e-06	3.7589485e-05	0.0003909063	0.009136908	0.023275727	0.1369404	0.28204554	0.5481635
i	0.0009122411	0.037011553	0.0005212059	0.0018246431	0.007414477	0.051548805	0.037177324	0.089622185	0.4706223	0.30334526
</S>	8.507464e-05	0.0010071546	0.0004300944	0.0007038492	0.0012477543	0.023008807	0.017650517	0.076786846	0.48585427	0.3932257
