 	l'	ho	sentito	che	veniva	</S>
o	0.99505794	0.004687719	0.00019203778	2.04753e-05	3.879986e-05	2.9101225e-06
n	0.012798157	0.898525	0.082018614	0.0059876987	0.0005562734	0.0001142847
ì	0.026338441	0.9472192	0.02534295	0.00092603156	0.0001195576	5.3828528e-05
k	0.0003336586	0.5979991	0.3148245	0.07481696	0.011423286	0.00060248317
u	0.07536713	0.74319917	0.13699228	0.024687113	0.009475906	0.010278369
s	0.00030669858	0.10096626	0.38771522	0.42281362	0.06368512	0.024513189
a	0.064951554	0.10729913	0.6330942	0.14288668	0.012846906	0.038921516
k	0.005578135	0.043966305	0.06811414	0.5926438	0.2024253	0.087272316
a	0.04652142	0.008835335	0.10996681	0.43140757	0.09329772	0.30997115
è	0.010732127	0.002872088	0.0076573603	0.46559814	0.46328694	0.0498534
r	0.0030514651	0.0010302246	0.00011076412	0.005676296	0.8314876	0.15864362
k	0.0010018672	0.00025420374	0.00064835115	0.027552824	0.3634509	0.60709184
a	0.0024731029	0.00083016505	0.00037339266	0.0027053864	0.42531803	0.5682999
t	0.088865355	0.026790863	0.0024527665	0.003552557	0.21920468	0.6591338
o	0.0044178627	0.0001362448	7.096411e-05	0.0018014464	0.29802552	0.69554794
</S>	0.1649036	0.017121498	0.0015655266	0.0051742136	0.30530363	0.50593156
