 	mia	mamma	puliva	la	casa	ogni	giorno	</S>
i	0.97641265	0.02003393	0.0031473928	0.0003889097	1.48059e-05	1.0388495e-06	5.81982e-07	7.1925115e-07
m	0.99185234	0.0075045074	0.0006244379	8.422386e-06	7.884342e-06	1.5833422e-06	4.4611855e-07	2.8679523e-07
à	0.15679115	0.81271887	0.029918406	0.0005523539	1.647827e-05	7.343121e-07	7.178256e-08	1.8331588e-06
n	0.22962007	0.75143766	0.01831626	0.00031483595	0.00029989914	9.106727e-06	1.3027968e-06	8.506875e-07
a	0.24183223	0.6580964	0.096788675	0.0023348446	0.00031033737	0.00011332658	1.1852179e-05	0.00051229604
m	0.013466732	0.7376677	0.24437052	0.003767203	0.0006548921	5.124016e-05	8.39499e-06	1.3280429e-05
u	0.014150504	0.85194093	0.12627251	0.007279951	0.0002738954	1.7688846e-05	1.5360387e-06	6.301384e-05
i	0.0051931078	0.122171044	0.78609467	0.082732804	0.0035225963	0.00016679215	5.2522733e-05	6.654024e-05
p	0.0019346399	0.0069368235	0.89244634	0.08728655	0.010369553	0.00075460965	8.3749816e-05	0.0001878201
u	0.0046755397	0.13375668	0.65051144	0.19605051	0.0097930785	0.00080153457	0.00015537864	0.004255808
l	0.019568792	0.020091763	0.9027655	0.053847834	0.0035186524	0.00013231338	4.175338e-05	3.3422588e-05
ì	0.0011170522	0.029742314	0.6488774	0.29900226	0.013558686	0.0014896663	0.00031115176	0.005901389
z	0.0022769098	0.0018026764	0.76836777	0.18648203	0.039251402	0.0012471012	0.0003145981	0.0002574582
z	0.00013769716	0.015422292	0.8640165	0.09610589	0.010716699	0.0037318284	0.00039793827	0.009471156
e	0.00015740652	0.0008713269	0.4683661	0.49411982	0.023983967	0.003493777	0.00049711997	0.008510546
t	0.009255231	0.00031473264	0.014863458	0.69442254	0.2446185	0.02591368	0.0030554354	0.0075563933
o	8.616693e-06	3.7345206e-05	0.02028704	0.83395964	0.08716344	0.013427419	0.002234184	0.042882424
s	0.0021123898	1.8526802e-05	0.000300014	0.22176494	0.68300074	0.071727134	0.008399554	0.012676781
p	1.919673e-05	2.5646988e-05	0.0008586857	0.5423962	0.2745911	0.049960036	0.011507773	0.12064144
ì	1.5521642e-06	1.8328948e-06	0.0005445459	0.04318469	0.6404639	0.12497334	0.07822243	0.11260765
t	0.019707602	0.00010128257	0.00047619926	0.06479498	0.5342956	0.25150302	0.06833194	0.06078931
i	7.955192e-06	1.33461945e-05	0.0008636753	0.31957078	0.23018564	0.1192145	0.018634897	0.3115092
k	0.0008568155	4.9388447e-05	9.143759e-05	0.006858078	0.18250756	0.5302728	0.17213203	0.10723195
à	8.3693696e-05	0.00012519298	0.0017105498	0.022446286	0.04518303	0.19412872	0.09651492	0.6398076
i	0.0041867755	7.20993e-05	8.684155e-05	0.0025029194	0.02808297	0.34364313	0.4969345	0.12449087
m	0.00039635427	4.9595365e-05	9.573698e-05	0.0011455162	0.02166747	0.3903261	0.44414288	0.14217634
è	0.00014112265	7.4210555e-05	8.805631e-05	0.0032516087	0.0035522531	0.08916344	0.18686225	0.716867
r	0.01505695	0.00066298107	0.0007362	0.007129948	0.016275229	0.04003616	0.6784454	0.2416572
i	0.0006465657	0.00090317184	0.0012201446	0.0024617622	0.0012946548	0.08663011	0.44296092	0.4638827
</S>	0.030930271	0.0088811815	0.008156781	0.029946586	0.06259012	0.044822354	0.3682083	0.4464644
