 	li	vestono	i	genitori	</S>
t	0.98559254	0.012787777	0.0015189577	9.625767e-05	4.467371e-06
u	0.9747584	0.024821373	0.0003882488	2.665207e-05	5.3872736e-06
s	0.8279119	0.17157555	0.00040901927	8.9937996e-05	1.3666519e-05
i	0.83481926	0.16208693	0.0028885559	0.0001646672	4.0571227e-05
n	0.022392508	0.9763	0.001159559	0.00013357909	1.4313098e-05
d	0.2614768	0.7052559	0.031818233	0.0011760375	0.00027309096
ì	0.26363248	0.5688979	0.14519234	0.012382091	0.009895277
n	0.006943864	0.9635049	0.028481597	0.0007539933	0.00031547365
n	0.005108365	0.93359536	0.05771759	0.0031899144	0.00038887377
o	0.002809438	0.7088562	0.27433634	0.01046095	0.0035371073
n	0.002604034	0.1720478	0.78967905	0.02917999	0.0064891623
e	0.0007997066	0.11180362	0.8383824	0.03234449	0.016669758
i	0.012216684	0.018565282	0.89464283	0.06548566	0.009089455
g	0.012110083	0.0011735407	0.77621555	0.15983245	0.050668348
e	0.002840534	0.007972084	0.8545476	0.09622449	0.038415294
n	0.015887719	0.0015254616	0.7870394	0.18782236	0.007725132
i	7.2399445e-05	0.0002508175	0.60046905	0.15896316	0.24024455
t	0.0037126732	0.0014624199	0.24172632	0.6082061	0.1448925
ò	6.735169e-05	9.552014e-05	0.40073124	0.37931716	0.21978876
r	0.00080921734	0.0013703089	0.037666753	0.85392386	0.10622983
i	0.00011185199	0.0009734496	0.33881375	0.57788044	0.08222048
</S>	0.0005228278	0.0003620728	0.00597052	0.7587961	0.23434848
