 	che	consuma	poco	benzina	</S>
n	0.99856585	0.001360999	3.9757568e-05	2.7049135e-05	6.433721e-06
a	0.97658926	0.023307867	9.4120485e-05	5.4301463e-06	3.2618293e-06
k	0.95647806	0.041481826	0.0018619874	0.0001344222	4.383086e-05
o	0.19456169	0.79695964	0.007592666	0.00029506185	0.00059092365
n	0.11699678	0.8601142	0.02203184	0.00071184785	0.0001452414
s	0.08891445	0.9034859	0.006668329	0.00020181162	0.0007295024
u	0.08169677	0.8416645	0.05278746	0.0124589745	0.011392314
m	0.015166041	0.68992376	0.25609195	0.033684347	0.00513393
è	0.006139381	0.9437048	0.0418817	0.0022664815	0.006007655
t	0.0020415261	0.74373055	0.24371336	0.0063213557	0.0041931304
s	0.00037896578	0.9458663	0.04408007	0.0053776233	0.0042969976
i	0.0007763731	0.9033367	0.07105679	0.009492915	0.015337068
a	0.0010730572	0.03980729	0.85062605	0.081460774	0.02703276
l	0.001431847	0.0037086832	0.7952173	0.15924925	0.04039284
ì	0.00276016	0.026623566	0.5133381	0.17333086	0.28394735
o	0.0029883867	0.002147861	0.4996063	0.3646198	0.13063753
b	0.0049974546	0.00023051581	0.10682114	0.6724176	0.21553332
e	0.00040279925	0.0055515384	0.11311155	0.451899	0.4290351
n	0.06682121	0.00020830668	0.005641613	0.6879414	0.23938747
z	8.472797e-05	0.0001243395	0.010297013	0.31178308	0.6777108
ì	1.1307134e-06	1.5654448e-06	0.00066923694	0.09464153	0.9046865
n	0.035011005	0.0004261938	0.007523636	0.2282016	0.7288376
a	0.00016789035	0.00038254308	0.0048751594	0.6845512	0.31002322
</S>	0.19456737	0.0021638572	0.008644367	0.15837596	0.6362484
