 	forse	sono	usciti	</S>
f	0.9995788	0.00032895827	6.801742e-05	2.4202773e-05
ò	0.9985738	0.0014109253	4.001962e-06	1.123929e-05
r	0.39522928	0.5808569	0.008138237	0.01577554
s	0.0668483	0.60797703	0.018305581	0.3068691
i	0.46115112	0.5356083	0.00026989126	0.0029707497
e	0.0023963207	0.98863655	0.0063744485	0.0025927338
g	0.15014754	0.6216265	0.20684071	0.021385219
g	0.02523216	0.93806314	0.023328902	0.01337584
u	0.0075159925	0.024002872	0.30403665	0.6644445
ì	0.0008497015	0.08239141	0.67938375	0.2373752
k	0.0062518395	0.18963777	0.2481933	0.5559171
a	3.712977e-05	0.00034865757	0.8776342	0.12197999
n	0.26079437	0.07765593	0.22447473	0.43707502
e	0.0012934324	0.0065524997	0.47581613	0.51633793
</S>	0.5258683	0.012595162	0.13030921	0.3312273
