 	le	canzoni	più	belle	sono	scritti	nella	notte	</S>
t	0.98285484	0.015455967	0.0014199839	0.00023351226	3.3200988e-05	2.2190434e-06	1.8077161e-07	3.4908815e-08	7.702858e-08
a	0.951035	0.048150554	0.00079143996	2.020711e-05	1.532775e-06	1.1422283e-06	1.8933942e-08	4.5305844e-09	1.949901e-08
t	0.45807052	0.5403034	0.0016208853	3.5525704e-06	1.3572954e-06	3.462518e-07	7.721661e-09	2.1499857e-09	1.3808105e-08
r	0.6054712	0.38088864	0.012995939	0.00046164106	0.00013748712	4.3327065e-05	1.0095396e-06	1.4083163e-07	4.741202e-07
a	0.95513916	0.044274315	0.0005444591	3.5805213e-05	5.801385e-06	4.5880105e-07	1.8611255e-08	3.1238319e-09	1.5851908e-08
v	0.025194177	0.97246957	0.002300581	3.0401063e-05	4.852697e-06	4.3496289e-07	6.5522534e-09	6.0607425e-10	2.5714648e-09
ù	0.07750597	0.65656596	0.21549198	0.041588157	0.006464331	0.0021793337	0.00010699062	2.5878424e-05	7.1483155e-05
d	0.0046553644	0.85867727	0.1332766	0.0025432315	0.0007280299	0.00011760792	1.3339196e-06	3.6321387e-07	1.7975606e-07
i	0.0046518184	0.4247334	0.45978817	0.060837924	0.024106298	0.022023449	0.00240814	0.0005195611	0.0009312762
a	0.0015027495	0.27201045	0.6826789	0.039109573	0.004136556	0.0005462428	1.0153465e-05	7.8877963e-07	4.591708e-06
p	0.0016210603	0.048753265	0.9084068	0.03461558	0.005929205	0.0006433326	2.0341116e-05	1.54902e-06	8.862382e-06
l	0.0014241349	0.007072812	0.70144457	0.2442693	0.030220285	0.013655075	0.000989794	0.0002867829	0.0006372735
è	5.0509836e-05	0.00013852841	0.4443675	0.3315038	0.20280932	0.013626255	0.0044787875	0.0010775076	0.0019478534
o	0.00019313677	0.0006058364	0.2944	0.6138615	0.078914754	0.0118801035	0.00011757237	1.159672e-05	1.553145e-05
n	0.0017633575	0.002466948	0.51398873	0.42415395	0.050163254	0.007196379	0.00019337008	9.225843e-06	6.474786e-05
ò	1.1581327e-05	0.0002513935	0.33160895	0.47221118	0.1404236	0.04834801	0.004500352	0.000884274	0.0017606966
r	0.001940732	0.00020646132	0.029135104	0.35172814	0.5688652	0.046590675	0.0010338712	0.00010437059	0.00039556643
r	5.7640545e-06	6.180252e-05	0.14720462	0.57691836	0.15549049	0.10383169	0.008972734	0.0020114712	0.005503046
i	2.921799e-05	4.662507e-05	0.0030368553	0.6603034	0.25736	0.063158825	0.0069975783	0.0023930527	0.0066744364
a	0.0028669606	0.00014244912	0.000118586315	0.11273991	0.72110724	0.15174128	0.0084316265	0.00021991739	0.0026321032
è	0.0014563133	5.4418007e-05	2.5667718e-05	0.006386798	0.7800271	0.19424744	0.013292202	0.00045650458	0.0040534902
r	0.00019574676	6.210893e-05	5.537427e-05	0.0010755769	0.39446738	0.5254083	0.036328275	0.0042077582	0.038199432
k	4.5205037e-05	0.00024513705	0.00080976554	0.059833147	0.22357257	0.51640946	0.10630787	0.028327346	0.064449474
u	1.3871597e-05	6.1806866e-05	6.982348e-05	0.02925608	0.1528034	0.33295855	0.30687213	0.09116723	0.08679715
t	0.0017874086	0.00022196374	5.786009e-05	0.009318347	0.15896331	0.545514	0.21577069	0.007937938	0.060428545
t	2.3007944e-05	5.0257686e-06	3.6314534e-06	0.0014061593	0.14898491	0.52231556	0.16495624	0.06325261	0.09905283
e	1.3354166e-06	3.4094666e-07	7.6856384e-07	0.000344805	0.055976935	0.39351222	0.23064923	0.12802939	0.19148502
g	0.00044311243	0.00011419816	5.0149072e-05	0.0030748833	0.05544836	0.38962916	0.40000334	0.020635532	0.13060132
r	4.2773423e-05	1.676719e-05	1.163376e-05	0.0028571421	0.0061238147	0.26549256	0.2712308	0.18234007	0.27188444
a	2.5164823e-07	3.637876e-07	2.5838863e-06	0.0007052197	0.0019063499	0.03636872	0.28083813	0.30087495	0.37930343
m	0.0007080899	0.00023744839	0.000109478366	0.008897329	0.022033412	0.046937283	0.52520686	0.10488242	0.29098767
m	1.1889842e-05	3.455973e-06	1.5995373e-06	0.0007407205	0.0025715	0.08077653	0.33403566	0.27410126	0.3077574
è	1.0230412e-05	1.6615102e-05	4.0088114e-05	0.0007051526	0.003151829	0.0019276448	0.029662805	0.22886178	0.7356238
n	0.036952037	0.050290678	0.025227474	0.32858318	0.049207285	0.005570704	0.10030783	0.18255545	0.22130539
a	9.228669e-06	1.2038842e-05	8.732831e-06	0.0030013483	0.00019681924	0.0033207643	0.2919465	0.4496119	0.2518926
s	0.004009507	0.0036596216	0.002282327	0.014546012	0.04441924	0.008650192	0.13348255	0.24821371	0.54073685
i	8.063878e-06	2.1098408e-06	6.617972e-07	0.00010074327	6.841901e-05	0.0018456766	0.1092563	0.5475646	0.34115338
n	0.0029137726	0.0020926679	0.0018717238	0.014983154	0.006665037	0.004517684	0.107291624	0.40021452	0.45944986
ì	6.7543597e-06	1.791961e-06	6.2166157e-07	8.723607e-05	6.942793e-05	0.0023940555	0.10674774	0.53766227	0.35303012
t	0.006882186	0.006137569	0.005029011	0.021391597	0.007475075	0.0031818948	0.08189874	0.5516671	0.31633687
t	4.7372605e-06	3.084435e-06	5.159349e-07	8.014639e-05	0.00019630654	0.0053314166	0.21697047	0.298271	0.4791423
a	1.8263875e-06	9.519554e-07	1.169577e-06	6.111783e-05	2.1653186e-05	0.00016558377	0.022856401	0.7515056	0.2253857
</S>	0.0023609605	0.0027786351	0.0025731674	0.02655336	0.06746542	0.010312114	0.13556887	0.21946485	0.5329226
