 	non	mi	aspetti	non	vengo	</S>
m	0.98446506	0.015215328	0.00026954061	2.857259e-05	1.5116261e-05	6.3915086e-06
ì	0.0014504943	0.08962744	0.8971366	0.010628973	0.00079942687	0.00035708793
m	0.9933781	0.0032178005	0.0019825522	0.0012908097	7.740369e-05	5.3279047e-05
e	0.018715302	0.65055525	0.20224991	0.119582064	0.0009513205	0.007946193
m	0.64141643	0.13094449	0.04694916	0.16824433	0.010736418	0.0017091122
ì	0.00020542808	0.010482424	0.96943206	0.01904618	0.00048191517	0.0003520082
n	0.0023751478	0.014904951	0.029421974	0.9117385	0.038895886	0.0026636352
i	0.001765198	0.8574667	0.101684086	0.033508677	0.0012985948	0.004276673
e	0.00014036389	0.00019605855	0.11427137	0.84472	0.0329878	0.0076844445
n	0.0004946211	0.00019157914	0.3050759	0.49189234	0.15358528	0.048760194
è	1.7273514e-05	0.0020922392	0.68200386	0.21769275	0.03753272	0.060661197
r	0.05537887	0.0002923622	0.0003542968	0.6769694	0.17378469	0.09322032
k	2.7374323e-05	0.008393335	0.51856214	0.09870851	0.052322	0.32198656
o	5.5477132e-05	0.0075365626	0.0047374475	0.005636061	0.55727637	0.42475805
m	0.021315487	0.00061225443	0.0009825501	0.06339061	0.6109984	0.30270073
e	0.0010579652	0.0043784245	0.044396132	0.028677916	0.10965893	0.81183064
</S>	0.9497317	0.0004914802	0.00020654622	0.008598206	0.024557088	0.01641501
