 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.9824378	0.01662498	0.0005071735	0.00041155712	1.7602148e-05	9.1073434e-07	4.0376356e-08	1.8310887e-08	1.2174576e-08
n	0.32710108	0.6450656	0.02761283	0.00018963074	1.6957223e-05	1.3028017e-05	5.7209564e-07	1.2100395e-07	2.1106744e-07
è	0.17560165	0.752555	0.06778898	0.003684217	0.00033336415	3.614036e-05	5.218182e-07	6.127737e-08	1.031338e-07
n	0.016688604	0.78393936	0.19100845	0.008028047	0.00033322422	1.9690644e-06	3.2898492e-07	4.1820716e-08	3.4986932e-08
a	0.08608611	0.71781266	0.18803716	0.006496007	0.0010076307	0.00053087244	1.7873375e-05	4.4197914e-06	7.3062515e-06
m	0.004439379	0.11115947	0.849271	0.02898948	0.006029577	9.584738e-05	1.3012755e-05	9.362073e-07	1.272226e-06
i	0.014683936	0.10847382	0.8451266	0.024555154	0.004426158	0.0027080788	1.8098453e-05	1.7202951e-06	6.388503e-06
l	0.0012447456	0.0136561	0.672626	0.28146067	0.030362751	0.0005842031	5.785605e-05	2.842871e-06	4.774117e-06
ì	0.002432481	0.011285165	0.5137941	0.31780648	0.10809027	0.04573431	0.0005404263	0.00010003709	0.00021666905
s	0.005411973	0.010253318	0.6748829	0.27340475	0.034646045	0.0012181314	0.00016972846	6.0737193e-06	7.1157365e-06
i	0.00025805295	0.016951278	0.83308905	0.122197874	0.017021032	0.009663486	0.00032487517	0.00017196395	0.00032231808
m	0.0016528952	0.005537662	0.2689382	0.42071885	0.2903169	0.011674631	0.0008898386	0.0001146501	0.00015635774
b	0.0013428974	0.0019443202	0.022542177	0.3161076	0.35716194	0.2954793	0.0032660011	0.0006124041	0.0015433118
r	0.0008240393	4.2121996e-05	0.0002666766	0.28273332	0.67770797	0.032765485	0.0028335496	0.0007576	0.0020692728
ò	0.0002835952	0.00014665404	0.003114448	0.4582826	0.4344638	0.090092085	0.005903469	0.0018908393	0.005822518
s	0.039041083	0.024621248	0.022276253	0.084705874	0.6252361	0.17755106	0.018663296	0.0033987788	0.004506216
t	7.5590725e-07	6.2315803e-06	0.00035458666	0.16169243	0.31264868	0.45461082	0.030726247	0.013515842	0.026444469
i	2.5169182e-05	3.1711395e-06	1.0394791e-05	0.0047535463	0.27048522	0.6493283	0.04060075	0.010803571	0.023989901
n	0.04310594	0.006256026	0.0010642614	0.001068757	0.083822206	0.5877654	0.20483425	0.026691983	0.04539117
A	4.8942616e-06	1.9146985e-06	8.244748e-06	9.2606875e-05	0.02847038	0.9184188	0.025575604	0.010189079	0.017238509
n	0.9533447	0.0019712143	4.9617367e-05	4.281668e-05	0.00017495887	0.020783164	0.016954219	0.004016007	0.002663329
n	1.0447317e-06	6.3922907e-06	5.564027e-05	0.0043041133	0.10619851	0.7874138	0.05262314	0.018118694	0.03127875
a	2.1153537e-06	1.4442529e-06	2.480866e-06	3.452605e-05	0.0029512746	0.54955906	0.21190704	0.09080432	0.14473781
à	0.020881863	0.0012231915	0.00034082055	0.00035915867	0.0029580086	0.03014074	0.48167455	0.19357605	0.2688455
t	0.004009742	0.00027502168	0.00014456679	0.00046509536	0.0009966483	0.020721016	0.33232704	0.2489361	0.3921248
s	1.4929375e-06	5.9969584e-06	7.479695e-06	2.4431227e-05	0.00015022338	0.12899916	0.24466671	0.31347293	0.31267157
e	3.0387846e-06	6.774524e-07	5.36539e-07	3.0432275e-06	1.559538e-05	0.009871024	0.2311271	0.43463564	0.32434332
t	0.007093801	0.00056977215	0.0005150939	0.0014449088	0.0067331037	0.004841521	0.1275518	0.39840958	0.45284048
ù	1.4434842e-05	1.3567807e-05	7.228191e-06	3.3412537e-06	2.8314871e-05	0.017935514	0.09904672	0.44349885	0.43945202
o	0.010750676	0.0006131474	0.00053248415	0.002501442	0.0014635071	0.0013557913	0.018119609	0.66499394	0.29966938
</S>	0.009147081	0.0006323801	0.0006050128	0.0017070583	0.0013997676	0.0029586318	0.023557708	0.47499758	0.4849947
