 	questa	canzone	ee	l'	ha	scritta	un	poeta	</S>
t	0.99332774	0.004295815	0.0014613486	0.0008079629	9.86552e-05	7.664594e-06	4.5434757e-07	1.9154805e-07	9.119777e-08
ù	0.9654363	0.034431487	0.00010393744	2.436523e-05	2.9360676e-06	9.494537e-07	3.510834e-08	1.0327513e-08	3.40683e-08
t	0.40087634	0.59881884	0.00028517906	4.2123465e-06	1.3658627e-05	2.3901808e-07	1.0130052e-06	2.5467278e-07	1.9732659e-07
t	0.51182085	0.4786755	0.003936471	0.0027626164	0.0021489551	0.00041097944	0.00010346245	4.654212e-05	9.4559706e-05
o	0.95809746	0.039140716	0.0024928276	0.00023483229	3.202e-05	2.0525024e-06	7.185161e-08	3.5333276e-08	3.29644e-08
t	0.038216326	0.92993027	0.031722263	6.886535e-05	6.104601e-05	4.6886598e-07	5.0765726e-07	2.2490686e-07	1.6201132e-07
r	0.6158739	0.26381248	0.05965862	0.048787724	0.009609754	0.002144182	5.8336293e-05	9.451362e-06	4.5621044e-05
a	0.9795885	0.018104525	0.0015849563	0.00060155947	9.192329e-05	2.7907643e-05	3.232731e-07	4.2329734e-08	3.3208946e-07
v	0.05794089	0.9097773	0.031670164	0.00050358684	0.00010341	4.07924e-06	3.9573393e-07	6.057212e-08	6.441944e-08
ù	0.011566363	0.05042647	0.25452092	0.61874455	0.04693446	0.017083855	0.0002898232	8.782273e-05	0.00034567947
d	0.008407905	0.9175847	0.06486434	0.008452046	0.0006217846	6.472597e-05	3.4634497e-06	3.6693632e-07	6.5251726e-07
i	0.0007169943	0.05980243	0.21574885	0.5293679	0.12680863	0.04872491	0.01117873	0.0037319139	0.0039196154
e	0.0019939314	0.10233078	0.69055593	0.1815508	0.020746125	0.0026320408	0.00013661783	2.4442494e-05	2.927756e-05
e	0.003998963	0.0022594295	0.73947895	0.06600597	0.17663297	0.010161074	0.00127441	7.602194e-05	0.000112131456
t	0.007591047	0.0008535605	0.16989143	0.027182173	0.7690431	0.017276708	0.007337917	0.00032830576	0.00049572403
o	3.592577e-05	6.220154e-06	0.025901385	0.36812326	0.40851966	0.18239906	0.007863757	0.002457687	0.0046930946
n	0.0029157314	0.00034266987	0.009049341	0.074111775	0.84451205	0.060243417	0.007640138	0.00055194227	0.0006329184
è	1.8189809e-05	1.6476332e-06	0.0036775733	0.14834994	0.61790437	0.20330243	0.011415043	0.0036993397	0.011631485
g	0.001974734	0.0005270175	0.0016542817	0.019945668	0.851767	0.090242974	0.027561454	0.002993427	0.0033335607
r	3.971049e-06	0.00012336805	0.0015751268	0.13059893	0.3714284	0.22361697	0.15640815	0.05767141	0.05857379
a	1.4377588e-05	8.996646e-06	9.705053e-05	0.09051762	0.05868037	0.77265275	0.02405896	0.013252502	0.040717315
t	0.00061503524	0.00023928618	0.00064548396	0.0024507204	0.029115254	0.689517	0.20293853	0.0316265	0.042852156
s	3.279287e-05	3.1657473e-06	0.00010175459	0.0017218003	0.040819623	0.5195501	0.17688674	0.10272666	0.15815732
e	3.03538e-06	3.6165147e-07	9.313248e-06	0.00069252244	0.014740788	0.08330543	0.35854807	0.2206723	0.32202816
è	0.00037159404	9.7033764e-05	0.00021635236	0.0012122069	0.012996533	0.107437894	0.47202083	0.20933138	0.19631621
n	0.00020703874	0.00045029828	7.143463e-05	0.00026462233	0.0029750655	0.0031196978	0.47330287	0.31881198	0.20079702
a	7.009721e-06	5.8475093e-06	5.49397e-06	1.875004e-05	0.00070752774	0.01541827	0.2940112	0.3408028	0.3490231
p	0.00035714643	0.00044926428	0.0003214816	0.0010662851	0.006804108	0.0029049942	0.0651036	0.6460685	0.2769246
o	0.00012398849	1.2402248e-05	1.1978056e-05	0.00012490233	0.0002461013	0.0020991191	0.0223593	0.3167841	0.65823805
è	0.0017792045	0.00057207193	0.00042983968	0.0029839803	0.0016773513	0.0022985302	0.028977128	0.8502377	0.111044034
t	0.0009238527	0.002179095	0.00028972118	0.00077659514	0.004223356	0.0014955221	0.06478907	0.67249197	0.25283083
a	1.9526675e-05	1.2861176e-05	7.856194e-07	2.761106e-06	3.5176618e-05	0.00015074122	0.03629399	0.58845633	0.37502787
</S>	0.010846918	0.01644577	0.0079297535	0.023172092	0.03654546	0.007904987	0.030946592	0.632662	0.23354645
