 	non	ho	dove	d'	andare	</S>
e	0.982079	0.017779557	0.00013116727	4.5349366e-06	4.7955336e-06	9.066345e-07
n	0.5550267	0.4044206	0.038582854	0.0016645418	0.00023998872	6.5240514e-05
è	0.091404185	0.90298426	0.0054373494	0.0001569366	9.765994e-06	7.579913e-06
c	0.019880826	0.6959141	0.27933082	0.0039021608	0.000754287	0.00021786701
h	0.014164068	0.9387447	0.043116886	0.0027014066	0.0006414305	0.00063135417
o	0.017988533	0.9253127	0.048039507	0.0064219413	0.0015307438	0.00070665305
p	0.00047433947	0.017362302	0.83874226	0.12475086	0.0126459105	0.0060242214
u	0.009837591	0.056842376	0.7570023	0.16435812	0.0043846183	0.007575038
è	0.024863387	0.0007956093	0.034306925	0.8257953	0.09320801	0.021030806
n	0.00083301304	0.0010424874	0.0045323037	0.3152244	0.5275888	0.150779
a	2.495185e-06	9.1586626e-05	0.010012063	0.6336705	0.19469652	0.16152689
p	0.029989308	0.00076655566	7.145789e-05	0.03195943	0.7471853	0.19002803
à	0.0006971875	0.0042934725	0.00046380382	0.14635429	0.2626518	0.58553946
o	0.07234269	0.00083453604	1.7264963e-05	0.0005791135	0.82441044	0.101816006
</S>	0.008281785	0.0023642962	8.3457766e-05	0.0036947767	0.5673735	0.41820222
