 	non	aveva	dove	aveva	per	stare	</S>
e	0.97914755	0.020697596	0.00014958877	4.652432e-06	2.2110494e-07	5.9453143e-08	1.05436854e-07
n	0.6880543	0.30729932	0.004298787	0.00030598027	8.325039e-06	2.6680296e-05	6.7502374e-06
ì	0.07770928	0.91306067	0.008994195	0.00022710639	6.8671093e-06	1.0361932e-06	7.526613e-07
c	0.009244496	0.96999186	0.019624202	0.0011262821	6.4886744e-06	3.1565726e-06	3.625837e-06
h	0.027888017	0.901591	0.067712486	0.0023564352	0.00018041648	0.00017538974	9.634635e-05
e	0.13098961	0.7671071	0.09491765	0.0058616064	0.0006456071	0.00026610272	0.00021220498
p	0.0011332994	0.029060354	0.8591127	0.10769671	0.0023197178	0.0003619756	0.00031533634
u	0.04355687	0.03344083	0.744122	0.1697561	0.0075372253	0.00071271404	0.0008742012
ì	0.009351268	0.007722397	0.04879374	0.91200495	0.019193066	0.0003135757	0.0026210402
c	0.00021579106	0.003432353	0.031304996	0.7956534	0.13138984	0.011939468	0.026064223
h	0.00045653633	9.438188e-05	0.029854307	0.5018563	0.272709	0.09382762	0.101201765
e	0.0022369123	0.0005694997	0.01143611	0.26437902	0.37001672	0.21941382	0.13194788
n	0.017189326	0.09799421	0.00092665676	0.08025744	0.5474685	0.026682016	0.22948192
a	0.00014579578	0.00044901238	0.00014992457	0.31334087	0.40875152	0.17324142	0.10392141
s	0.018156825	0.0052961563	0.00011603811	0.011058895	0.7509911	0.034933437	0.17944753
t	6.8561596e-05	8.77132e-05	9.004653e-06	0.02447839	0.4409959	0.36860925	0.16575114
a	7.868674e-05	4.754636e-06	1.7621925e-06	0.0023030532	0.40581024	0.36358005	0.22822148
t	0.0055670757	0.0017273419	3.044028e-05	0.0009847693	0.12780388	0.023401724	0.8404848
ì	1.37574425e-05	3.351852e-05	2.5568008e-06	0.00058221637	0.14057766	0.53590244	0.32288784
</S>	0.40406978	0.0029112962	0.00020315859	0.0012727757	0.03381754	0.17638096	0.38134456
