 	non	li	aspettiamo	più	</S>
e	0.99783903	0.0017380784	5.1741976e-05	0.00035039484	2.0672675e-05
t	0.29842642	0.6506085	0.047634017	0.0031550096	0.00017604345
u	0.5431888	0.44800568	0.0065681357	0.0016520253	0.00058537524
s	0.011034805	0.91376776	0.049227383	0.025322113	0.00064799323
m	0.020800205	0.8631503	0.1027203	0.0087047685	0.0046243905
è	0.04653657	0.14408831	0.2664508	0.3269375	0.2159868
n	0.0089629935	0.09378904	0.7552803	0.13463743	0.0073302467
u	0.005518419	0.6234405	0.2694035	0.047535222	0.05410236
m	0.0005175874	0.008111678	0.56034803	0.38690886	0.044113852
e	0.009343367	0.03000131	0.5408552	0.19020474	0.2295953
p	0.010429451	0.00037314586	0.048638362	0.92899394	0.0115650995
l	0.0010031707	0.0019755685	0.03648212	0.24299955	0.71753955
è	0.0005277316	2.9939087e-05	0.0004645717	0.5317599	0.46721783
o	0.006922683	0.00028391174	0.0024023526	0.9388399	0.051551037
</S>	0.0024372512	0.00011559864	0.0014820647	0.8807375	0.11522756
