 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.99067616	0.008698209	0.0005971266	1.49033485e-05	8.755071e-06	4.897063e-06
s	0.7943113	0.17719154	0.028125538	0.00037023317	4.87203e-07	9.109454e-07
o	0.76218736	0.22986726	0.006767065	0.00061553455	0.00014214758	0.00042069002
s	0.035945844	0.56851274	0.37608126	0.019434746	8.433867e-06	1.6909797e-05
e	0.034625474	0.80144113	0.15349627	0.009800418	0.00018061683	0.00045608025
è	0.008450503	0.5739904	0.3891607	0.027988987	0.00022672549	0.00018274161
m	0.00056810334	0.09186531	0.8055764	0.10168494	0.00011553751	0.0001897646
b	0.00015962764	0.036370255	0.3200604	0.5754284	0.032931086	0.035050195
i	0.0064063272	0.0072726244	0.181342	0.5904775	0.12697086	0.08753068
à	0.07642422	0.028696373	0.39492732	0.47724274	0.011291762	0.011417578
t	0.000658185	0.0033534986	0.10541867	0.8824342	0.0038335081	0.004302023
t	5.276646e-06	0.000103057675	0.032879822	0.88856286	0.03694522	0.0415037
i	0.00038754425	0.00026768938	0.021096094	0.21985486	0.16975106	0.5886427
f	0.04929842	0.0143016325	0.007005231	0.71532685	0.08446309	0.12960476
i	0.0015706412	0.00024390947	0.00027250787	0.30642933	0.37889275	0.31259084
n	0.18578391	0.0009581164	0.00010637547	0.020220757	0.3263991	0.4665318
è	6.944125e-05	7.1209324e-05	0.00014008215	0.16705334	0.24352567	0.58914024
s	0.022413617	0.00023156857	9.378371e-05	0.010165506	0.45384765	0.51324785
t	1.3307177e-05	2.263994e-05	5.4009994e-05	0.38228178	0.41692013	0.20070814
r	3.5574653e-06	7.1018195e-07	2.6337889e-06	0.00074447837	0.5854598	0.41378874
a	0.00040356987	0.000145185	8.185425e-05	0.0028879284	0.3947846	0.60169685
</S>	0.044639636	0.004651321	0.0017790718	0.004121157	0.10002051	0.8447883
