 	che	vende	buon	pane	</S>
k	0.9309905	0.010310365	0.05792309	0.00028098733	0.00049499655
a	0.88504875	0.02053768	0.09423258	6.5433145e-05	0.00011547868
i	0.53306735	0.28342494	0.18248679	0.0007714511	0.0002494547
p	0.0033975246	0.6165599	0.34249508	0.03503014	0.0025173256
u	0.052795183	0.6265098	0.042543344	0.04077214	0.2373796
l	0.001248594	0.9315475	0.045261595	0.017224824	0.004717374
ì	0.029821413	0.17410602	0.0061654514	0.094168805	0.6957383
t	0.004200189	0.16303533	0.005065013	0.18987909	0.63782036
s	0.00051788456	0.05524397	0.30824912	0.118676744	0.5173122
o	6.1493505e-05	0.0011630714	0.00043276921	0.28224215	0.71610045
m	0.0069778515	0.008412241	0.019840805	0.8119182	0.1528509
ì	0.0025747202	0.0009826366	2.9822391e-05	0.1494171	0.8469957
k	0.039557844	0.035139248	0.11284005	0.3162677	0.49619517
a	5.4136875e-05	0.000109247136	0.0006659093	0.35063243	0.6485383
l	0.0345588	0.0058462983	0.41542622	0.069195524	0.47497308
ò	0.0021022847	0.00079048437	0.0005826776	0.23999026	0.7565343
</S>	0.013979112	0.011334738	0.7534803	0.0052114413	0.21599434
