 	devo	pulire	l'	albero	</S>
è	0.9971482	0.0021588732	7.812066e-05	0.000591035	2.3823957e-05
n	0.99128973	0.008674024	4.303474e-06	2.7585196e-05	4.4845165e-06
a	0.91037554	0.06837989	0.013198095	0.006434121	0.0016123392
k	0.7240026	0.27410048	0.0005893909	0.00093539106	0.00037217824
a	0.022113416	0.8524807	0.113333635	0.00795582	0.0041164616
t	0.043277778	0.9294482	0.012943111	0.014063402	0.00026761528
à	0.0459434	0.84533113	0.08740712	0.013732559	0.007585901
r	0.052098863	0.48665798	0.07814938	0.3707508	0.012342931
o	0.000771075	0.73631567	0.20455573	0.0502223	0.008135136
t	0.012472862	0.538959	0.19639418	0.23902161	0.013152414
o	0.0010130975	0.52408177	0.38538587	0.05678005	0.032739215
n	0.008162951	0.013555775	0.08528983	0.8701039	0.022887548
à	0.0007348542	0.12371461	0.5810812	0.16850701	0.12596232
r	0.0006370616	5.5232787e-05	0.01033707	0.97661453	0.012356165
b	0.00013237596	0.11779665	0.6705348	0.1381957	0.07334053
u	0.00044637278	0.0049799928	0.5589665	0.3597427	0.07586449
r	0.00777793	0.00013796685	0.017455755	0.9609492	0.01367918
o	0.00053769856	0.00061521406	0.23853895	0.5194393	0.24086882
</S>	0.003759201	9.322767e-06	0.0010128352	0.96606857	0.029150022
