 	vuole	pianto	</S>
e	0.9486278	0.045337867	0.0060342257
t	0.99853885	0.00040078952	0.0010603374
è	0.9800586	0.008534783	0.011406531
l	0.9925379	0.00059359707	0.006868444
i	0.5283062	0.31404665	0.15764713
k	0.9286232	0.034291774	0.037085034
l	0.008720277	0.7624615	0.2288182
a	0.0010722952	0.93842435	0.060503393
m	0.0074332315	0.93704003	0.055526797
m	0.008272189	0.6869989	0.3047289
è	0.0005181531	0.0015234159	0.9979584
n	0.007060869	0.0287848	0.9641543
o	0.0001357664	0.99288297	0.0069813216
</S>	0.06529172	0.012231339	0.92247695
