 	Valeria	legge	il	giornale	</S>
e	0.99740183	0.0022051989	0.00017473055	0.00019446516	2.3703427e-05
V	0.9985557	0.0014193332	1.9114703e-05	2.9765056e-06	2.838493e-06
a	0.97912085	0.019818567	0.00086448353	4.1100735e-05	0.00015509213
l	0.9462525	0.05323866	0.0004070408	3.9777155e-05	6.205402e-05
è	0.24133576	0.72649765	0.029308248	0.0010390487	0.0018191979
r	0.0062087514	0.9236326	0.06834706	0.0005634141	0.0012481937
i	0.10970858	0.8042991	0.07005691	0.009077002	0.0068583814
a	0.0045407894	0.9624217	0.031783596	0.0004947481	0.00075928
m	0.038647097	0.84187555	0.10650279	0.008914099	0.0040604603
e	0.047335524	0.6192087	0.29856405	0.006933228	0.027958395
l	0.015422614	0.20126034	0.68941927	0.083161995	0.010735809
e	0.0007706803	0.06295247	0.79440576	0.04546234	0.096408755
t	0.007297226	0.022247627	0.8673087	0.08670178	0.01644466
à	1.7818042e-05	0.0005035736	0.59026724	0.051137358	0.35807392
o	0.0026656138	0.00055230194	0.4754092	0.3942713	0.1271015
g	0.0010729299	0.00014427985	0.11362136	0.48660365	0.3985578
i	0.00015507881	0.0010655884	0.2290268	0.50623274	0.26351973
o	0.008126729	5.4621032e-05	0.0015630053	0.95413804	0.036117505
r	0.0028827556	7.558754e-05	0.00070601725	0.9171187	0.07921684
n	4.546371e-05	3.4073415e-05	0.001825961	0.61367553	0.38441896
à	2.731136e-06	1.8968537e-06	0.00018627271	0.6656902	0.33411896
l	0.012486329	0.00021486745	0.00092604646	0.8732331	0.113139704
e	3.4414916e-05	2.7213795e-05	0.000726545	0.91671824	0.082493626
</S>	0.08273488	0.003315688	0.0071510556	0.62525976	0.28153867
