 	e	che	cucino	</S>
c	0.98154676	0.0068157767	0.00908782	0.002549594
e	0.6834553	0.28198224	0.03317542	0.0013869778
p	0.1681159	0.44197994	0.2665832	0.123320974
u	0.002061348	0.13149549	0.68248117	0.18396202
m	0.0031164202	0.31614694	0.65805084	0.022685817
a	0.0067063863	0.1251451	0.68079317	0.1873553
r	8.554395e-05	0.049407564	0.9313477	0.019159248
è	0.0026283686	0.39645267	0.22267778	0.37824115
o	0.0011096605	0.0017578548	0.9698692	0.027263265
</S>	0.002215528	0.0058484697	0.93671584	0.055220082
