 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a	0.98040605	0.018866347	0.00064971263	7.307866e-05	3.2890212e-06	9.092401e-07	4.1902317e-07	1.7353912e-07
n	0.9499752	0.04968024	0.00027116318	2.2522758e-05	3.0180516e-05	1.0526186e-05	6.2515232e-06	3.8520766e-06
k	0.7158721	0.27934304	0.0037343793	0.0009448434	8.664324e-05	1.504408e-05	1.786475e-06	2.266303e-06
ò	0.86138916	0.09702647	0.0381977	0.0030815962	0.0002772897	2.3927165e-05	2.6120028e-06	1.3160204e-06
r	0.008277312	0.21328543	0.690747	0.04964271	0.03480587	0.0031440272	7.508534e-05	2.2537508e-05
a	0.2987638	0.69071025	0.0093926815	0.0010026989	7.480611e-05	2.1605101e-05	1.2557754e-05	2.1639684e-05
s	0.0018280386	0.42526972	0.5443538	0.007641015	0.020065354	0.0007681675	5.5591023e-05	1.8273447e-05
t	0.07125316	0.87812805	0.029502662	0.019184718	0.0013726718	0.00036578008	3.8743026e-05	0.00015429244
e	0.006401766	0.121543914	0.5457485	0.29679614	0.022277461	0.005085276	0.0009915055	0.0011554348
m	0.0074017253	0.008483628	0.8633554	0.081233196	0.03682959	0.0021739064	0.000300912	0.00022158815
a	0.014197951	0.35881308	0.36961427	0.24119824	0.013284019	0.0020652863	0.00024918845	0.0005780019
r	0.010935821	0.0021304414	0.7095853	0.14444841	0.12899286	0.003316221	0.0004536335	0.0001373514
è	0.00034113287	0.0043310043	0.33330798	0.52539617	0.10086192	0.019162722	0.0024055606	0.014193505
o	0.0010903766	0.00020602111	0.58491623	0.15020283	0.24890319	0.011775706	0.0020770836	0.00082852255
c	0.00060080405	7.115186e-05	0.016363781	0.62100554	0.26981822	0.07535247	0.0068725934	0.009915419
e	0.00015233947	0.0008531225	0.021692296	0.86105317	0.06296893	0.029823923	0.0070748497	0.016381389
e	0.034337696	0.00011189303	0.0020310243	0.12997092	0.61594164	0.16593552	0.0354527	0.016218524
n	4.3291224e-05	1.9771762e-05	0.00016590349	0.21780783	0.38805416	0.31564802	0.030561881	0.047699146
ì	2.938105e-05	2.4000523e-05	0.00010967684	0.19373187	0.18713674	0.32130527	0.15814288	0.13952014
n	0.020103406	5.867673e-05	0.00073129224	0.009463756	0.21131846	0.46597102	0.21063598	0.081717424
e	2.5794466e-06	8.446814e-06	4.8317812e-05	0.13903062	0.042235024	0.30408287	0.21515173	0.29944047
p	0.0002996811	2.460284e-05	0.00017449896	0.0072709876	0.022508763	0.14538912	0.43678406	0.38754833
r	0.0003318097	0.00012769488	8.282176e-05	0.010608501	0.0056989044	0.05197423	0.25847024	0.6727059
ò	1.3572717e-06	6.462297e-07	3.19773e-05	0.00061146094	0.0015333237	0.0140256155	0.5520495	0.43174613
n	0.010127907	0.00016029987	0.0010459544	0.012182312	0.013609287	0.024579769	0.47468862	0.4636058
t	2.6872944e-05	2.5932832e-05	4.280666e-06	0.00049217994	0.0002721297	0.013779517	0.5125636	0.47283554
o	5.6206147e-05	1.0130473e-05	2.2085329e-05	0.00017010007	0.001970883	0.012233601	0.6985862	0.28695086
</S>	0.0010293111	0.0006601489	0.0016943432	0.013894719	0.027784046	0.02795292	0.23260458	0.69438
