 	i	bambini	non	possono	mangiare	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a	0.97998774	0.016901743	0.0011280219	0.0018770096	6.4882035e-05	6.927162e-06	2.9553368e-05	2.1341546e-06	7.35759e-07	1.1177464e-06	1.01988384e-07	1.669742e-08	1.1133196e-08	1.0815141e-08
p	0.011709593	0.98744595	0.00082266086	2.0537072e-05	8.4213633e-07	2.07308e-07	1.8011868e-07	1.8684537e-08	6.3933046e-09	2.474415e-09	1.2138974e-09	5.764442e-10	3.6889405e-10	1.3130443e-09
e	0.54749286	0.060396504	0.3238876	0.047272217	0.009905063	0.007936669	0.0020568136	0.00073576486	0.00020123326	7.7756704e-05	3.0228415e-05	4.117477e-06	6.840058e-07	2.5296163e-06
t	0.06750632	0.90943754	0.022519464	0.00050939294	9.75011e-06	1.5979269e-05	1.5680151e-06	6.1515685e-08	1.2057121e-08	2.4311069e-09	1.3229704e-09	8.502123e-11	1.6518089e-11	6.671637e-11
ì	0.5501214	0.29834348	0.120794825	0.02319538	0.004843472	0.0011502455	0.0009502544	0.00038528765	0.00012903889	5.9869297e-05	2.242963e-05	1.7416371e-06	3.2020947e-07	2.2574598e-06
a	0.00042189597	0.18567604	0.7855052	0.026650349	0.0011050586	0.0005866116	5.145135e-05	2.7927163e-06	5.0748486e-07	8.017195e-08	4.1840035e-08	1.6107089e-09	2.1825755e-09	1.6314403e-09
e	0.0019108831	0.2537617	0.7272056	0.015235696	0.001095052	0.00073678134	4.8161153e-05	4.7202275e-06	8.2797516e-07	4.6140264e-07	9.43613e-08	5.350716e-09	1.8902313e-09	7.484242e-09
s	0.005520472	0.5366569	0.43454206	0.02153856	0.00083685917	0.0007227219	0.0001660851	1.116092e-05	3.0724834e-06	1.3853298e-06	5.4278036e-07	7.888145e-08	4.669942e-09	4.2320643e-08
ò	0.0013952714	0.011992263	0.13464251	0.7179103	0.069324166	0.015378323	0.039839447	0.0056496155	0.002137398	0.0013389229	0.00031901718	3.751748e-05	1.1315352e-05	2.3949666e-05
z	0.005811	0.12861586	0.48332772	0.32912642	0.04223871	0.008874095	0.0017479513	0.00018897084	5.0286988e-05	1.1949857e-05	6.2740896e-06	3.159006e-07	2.1737323e-07	2.5136742e-07
u	0.0011499696	0.01587251	0.2212082	0.5084857	0.17576784	0.025681889	0.033077177	0.01234224	0.0038436537	0.0018042147	0.0005676531	9.101985e-05	2.8267606e-05	7.9663776e-05
n	0.0041169864	0.0023696704	0.21756841	0.42705333	0.19410183	0.13203783	0.019708356	0.0023497758	0.0004751562	0.00016280542	5.2137322e-05	1.5128113e-06	3.3721793e-07	1.8653881e-06
e	2.7668215e-05	1.7235907e-05	0.025737023	0.54884	0.2474106	0.060867526	0.07686434	0.02495598	0.008629839	0.0045537073	0.0015302896	0.00024430544	8.848291e-05	0.00023303651
f	0.0031675943	0.00033895398	0.011443774	0.2146332	0.38157067	0.25043282	0.12192155	0.0122631	0.0029889443	0.0008690364	0.00035146755	9.9419385e-06	1.5899653e-06	7.4171667e-06
à	5.967473e-05	1.692071e-05	0.0038892278	0.37286347	0.38457763	0.07407751	0.09220599	0.039602008	0.013248551	0.013659332	0.0030579697	0.001100467	0.00061076507	0.0010304878
i	0.0023345656	0.0029462914	0.03654631	0.27979773	0.49286166	0.13160971	0.047820568	0.004547869	0.0011372449	0.0002728396	0.00011148184	5.6853264e-06	3.6151234e-06	4.434591e-06
e	0.0005412614	0.0002719148	0.00080999424	0.017783528	0.39280784	0.24802946	0.27358383	0.045856513	0.0136888875	0.004409244	0.0020578017	9.348828e-05	1.0017415e-05	5.6265882e-05
s	0.00028315236	0.000105103325	0.00017246538	0.0012693809	0.111242644	0.2521085	0.4683209	0.10830743	0.03662472	0.014475875	0.0065040817	0.00035186156	3.1912627e-05	0.00020194612
ò	5.0276967e-06	1.7922557e-07	6.0680777e-06	0.0022770956	0.1485797	0.097211875	0.42413375	0.16045392	0.07820078	0.059968226	0.018955948	0.005024982	0.0020564273	0.0031259912
z	0.00086163025	0.00052869687	6.6667875e-05	0.0006103036	0.08124196	0.06135197	0.6129077	0.15549956	0.061644923	0.016016359	0.008366053	0.0005132934	0.00011640808	0.00027452403
u	1.6644663e-06	5.5408977e-06	6.962397e-05	0.012903502	0.4068062	0.05215468	0.27437928	0.14015125	0.048351903	0.045240752	0.008867812	0.004948558	0.0021590379	0.0039603
n	0.00020362133	4.162867e-05	1.3987276e-05	6.2725136e-05	0.0058269156	0.022336021	0.38623723	0.3577245	0.1580714	0.043877937	0.024314638	0.0006504521	9.951518e-05	0.00053940935
f	7.873628e-06	4.5738582e-07	2.1443223e-06	0.000115308874	0.03911932	0.023100726	0.31092378	0.2858906	0.14046466	0.13421343	0.037826177	0.012573765	0.006177899	0.00958386
à	1.7893503e-07	5.4599406e-07	2.154866e-05	0.00022385798	0.0028994873	0.0027108642	0.07461421	0.2147018	0.21793398	0.22537537	0.11436815	0.060463857	0.041116696	0.04556936
i	0.03453295	0.0016244084	0.00011093355	0.00016792226	0.002605127	0.015769409	0.17818905	0.39650622	0.2642674	0.06608595	0.037737466	0.000944539	0.00045123164	0.0010073223
o	9.3800685e-05	3.4916502e-05	6.6276148e-06	2.1829985e-05	0.00022258729	0.005263885	0.059912305	0.36103842	0.3378893	0.14385296	0.08677566	0.0026038494	0.00034560583	0.0019381563
g	0.0006569089	0.00032000773	5.7506357e-05	7.744558e-05	8.787994e-05	0.0013582902	0.0074419826	0.093085445	0.18331787	0.4948922	0.19046706	0.017484665	0.0021442354	0.00860845
