 	ho	finito	di	scrivere	</S>
s	0.9993519	0.0005419453	5.495447e-05	2.5095216e-05	2.6059111e-05
p	0.8542042	0.14360566	0.0019988979	5.3065047e-05	0.00013816987
ì	0.5734589	0.40077814	0.024832865	0.0002455019	0.00068462925
c	0.007102667	0.9717069	0.02052007	0.00053692464	0.00013341424
c	0.0019790204	0.94852936	0.023625594	0.0034212917	0.022444794
e	0.039250363	0.39702073	0.5050145	0.013078533	0.045635898
t	0.0001278296	0.577096	0.40595716	0.009892782	0.006926307
s	0.0001283063	0.7654933	0.20523413	0.005583059	0.023561237
a	0.001229484	0.04258301	0.6790216	0.069212586	0.20795335
à	0.0022871091	0.0134671535	0.74285287	0.109784864	0.13160796
t	0.003943009	0.011737447	0.5063604	0.16877675	0.30918232
s	9.140474e-06	0.0059409696	0.30256957	0.1618723	0.5296081
e	3.4900382e-05	2.8230957e-06	0.06084927	0.44780257	0.4913105
g	0.078844085	0.003510277	0.008368185	0.21746103	0.6918164
r	0.00013620162	0.0015404823	0.016152747	0.20181994	0.78035057
à	5.0750015e-05	3.580626e-05	0.0004609963	0.08962012	0.90983224
t	0.035548378	0.0022269709	0.0025062158	0.04797949	0.91173893
s	2.0056395e-05	0.00059124496	0.0016205142	0.14221656	0.8555516
i	0.00037111528	1.1129769e-05	0.00036538675	0.25193757	0.74731475
</S>	0.5207109	0.0045495545	0.0060351524	0.008369795	0.46033457
