 	non	ho	cosa	a	fare	</S>
e	0.98620933	0.013718431	5.8675323e-05	2.5723602e-06	2.9649843e-06	7.951375e-06
n	0.69239074	0.23005162	0.06875016	0.00548472	0.0025524518	0.0007703523
è	0.170968	0.82243544	0.0063940897	0.00010138718	1.8186702e-05	8.296315e-05
c	0.010052987	0.35802564	0.55065393	0.038794048	0.03312053	0.0093527995
h	0.046702106	0.893519	0.047011577	0.002457648	0.0018140615	0.00849562
o	0.02446935	0.8209779	0.12455179	0.007659182	0.005552509	0.01678919
t	0.00043803896	0.0024615068	0.7514998	0.15532319	0.06589316	0.024384307
i	0.005282156	0.016002825	0.606013	0.15651459	0.03923608	0.17695135
k	0.042615622	0.009635021	0.02399917	0.54666394	0.19784859	0.1792377
à	0.0048287995	0.0090981955	0.0080475435	0.15156706	0.12473393	0.70172447
m	0.18609154	0.001494881	0.00019811654	0.050121598	0.7078204	0.05427345
i	2.237165e-05	0.0001355826	0.0006808675	0.05799537	0.1413252	0.79984057
</S>	0.12780643	0.060060803	0.002173167	0.011105598	0.27446032	0.52439374
