 	lo	posso	finire	di	fare	</S>
t	0.9939347	0.0060429485	1.4620143e-05	2.7565802e-06	9.3935887e-07	4.0944137e-06
o	0.9226589	0.07706167	0.00025436195	1.2362945e-05	2.2545944e-06	1.0534858e-05
s	0.019526111	0.9800094	0.0003900798	2.1207916e-05	9.567e-06	4.3574164e-05
ò	0.12788558	0.86749524	0.0043937787	0.00011247568	1.4797111e-05	9.818802e-05
z	0.002931839	0.99610645	0.00059457007	3.2378768e-05	0.00017180016	0.00016290986
o	0.83701277	0.14875124	0.012791141	0.00035743904	0.0001596406	0.0009277795
s	0.0008551272	0.93379134	0.06368368	0.0012289159	0.00015238019	0.00028854475
p	0.022006782	0.5224179	0.4411484	0.007120511	0.0012348177	0.0060716188
i	0.0496056	0.07313914	0.7370796	0.05633254	0.020476462	0.063366644
c	0.0031252217	0.01099346	0.9666471	0.014238322	0.002417046	0.0025788108
c	0.003555169	0.01972277	0.92837036	0.020028563	0.004509783	0.023813289
è	0.00010413749	0.007896181	0.005781335	0.13478032	0.21095367	0.64048433
t	1.5685726e-05	0.00013269746	0.8991734	0.043298554	0.048968118	0.008411542
s	2.6690535e-05	0.0017228023	0.86038566	0.033975713	0.019698406	0.0841908
i	0.00034158304	2.893623e-05	0.37831998	0.24666868	0.1285248	0.24611601
t	0.008867375	0.00067371695	0.07471234	0.5520058	0.13493648	0.22880429
s	0.00012704844	8.764674e-05	0.2704151	0.3345773	0.07566002	0.3191329
è	2.859459e-05	1.8220453e-06	0.0019284567	0.4172743	0.3712844	0.2094824
k	0.005020757	0.00094577216	0.014795494	0.10361878	0.31766275	0.5579564
à	2.2064041e-06	5.9828806e-05	0.03677476	0.21761338	0.16197707	0.5835728
m	0.01127875	0.00070031855	0.0035713299	0.03308042	0.56263244	0.38873672
i	1.8062043e-05	4.7643178e-05	0.017968437	0.038010024	0.1767321	0.7672237
</S>	0.023400709	0.004265522	0.009430104	0.04678163	0.49738058	0.41874138
