 	vuole	vuole	mangiato	caldo	</S>
t	0.99502605	0.0045780037	0.00027812432	0.000104273546	1.3527597e-05
è	0.9722662	0.027440915	0.0002593919	2.092904e-05	1.2517876e-05
l	0.89415157	0.105421074	0.00040143236	1.0307498e-05	1.5542497e-05
i	0.53398067	0.38131353	0.04934684	0.01852992	0.01682906
t	0.16167891	0.8302125	0.007924141	0.0001190284	6.538492e-05
è	0.056418225	0.9255333	0.015809223	0.0011112263	0.0011279105
l	0.0041702995	0.96383345	0.031087121	0.0005239412	0.0003851438
i	0.012551789	0.8359465	0.11683093	0.025637904	0.009032863
f	0.003400321	0.5942511	0.38685772	0.010182874	0.005308008
a	0.0025324312	0.07444418	0.716548	0.1434012	0.06307412
m	0.022273723	0.056254447	0.8255568	0.066425405	0.029489575
è	0.0023635249	0.0063541536	0.6134226	0.1926661	0.18519367
n	0.030321749	0.011084864	0.5550692	0.27997327	0.12355094
o	0.0011895827	0.00518099	0.5837885	0.31301573	0.096825264
t	0.002625273	0.00052741077	0.02104203	0.80917335	0.1666319
r	2.7500542e-05	0.00017428349	0.15480465	0.5954098	0.24958377
e	1.055516e-06	2.7302492e-06	0.0021672857	0.3901881	0.6076408
m	0.0012922313	7.9366255e-05	0.0005271579	0.66725844	0.33084276
m	0.00021688243	0.00012451684	0.0029459393	0.49892622	0.49778652
ò	3.7338657e-05	2.262075e-05	0.00030474996	0.061227866	0.9384074
</S>	0.08012487	0.058008537	0.0043123723	0.3942335	0.46332073
