 	che	non	li	aspetiamo	</S>
n	0.8666813	0.1319335	0.0010362458	0.00024637702	0.00010259108
a	0.9804811	0.019020867	0.00043279954	3.398121e-05	3.11509e-05
m	0.7809442	0.16810462	0.050171334	0.0005405294	0.00023924002
i	0.3160485	0.4456124	0.23313425	0.0022141146	0.0029906759
t	0.0030586617	0.3558829	0.63874143	0.0016297344	0.0006872882
u	0.038494192	0.6633261	0.268746	0.007646644	0.021787127
s	0.005064796	0.02068154	0.96007234	0.008221924	0.005959357
m	0.02382815	0.06137644	0.6711207	0.023459533	0.22021522
ì	0.0007665885	0.022942672	0.09749227	0.13084683	0.7479516
n	0.0078281835	0.11733623	0.6869167	0.12954098	0.058377918
o	0.0019343401	0.019316994	0.6082949	0.15508643	0.2153673
m	0.007191138	0.0077226646	0.05045458	0.6976407	0.23699084
e	0.006018085	0.056310005	0.016451817	0.18088898	0.7403311
</S>	0.28407797	0.19395745	0.013687596	0.12529345	0.38298354
