 	oggi	io	non	ho	cosa	da	fare	</S>
s	0.85207814	0.09666463	0.04315773	0.0079172775	0.00016834067	5.2430737e-06	2.4343801e-06	6.188925e-06
ì	0.94186926	0.05668569	0.0012781202	0.00015452922	1.0973035e-05	4.5430855e-07	2.0640927e-07	7.388445e-07
m	0.90747565	0.09093291	0.0014303353	0.00013905398	1.4636055e-05	2.044507e-06	2.9190626e-06	2.4699968e-06
m	0.92769647	0.031009225	0.0068664863	0.01910618	0.009106221	0.001476561	0.001384925	0.0033539135
e	0.86430746	0.10022141	0.023283139	0.011374929	0.0007595659	1.8635286e-05	5.4095613e-06	2.939469e-05
r	0.024761176	0.8464866	0.09813832	0.02876094	0.0017430179	7.461887e-05	9.763887e-06	2.5582201e-05
i	0.067535885	0.19367698	0.64400834	0.08983059	0.004641926	0.0001098728	3.895996e-05	0.00015747981
e	0.0015876738	0.68393034	0.28248498	0.030746311	0.0011586683	5.0869796e-05	1.4327593e-05	2.6749962e-05
v	0.00027893437	0.91042703	0.07526127	0.013750839	0.0002688894	8.307206e-06	1.3957009e-06	3.2944795e-06
ò	0.003708754	0.0997835	0.49102142	0.38510916	0.018631252	0.00059859507	0.00023407053	0.00091321697
e	0.0015827413	0.026718479	0.8889486	0.053961515	0.02389328	0.002134328	0.002427417	0.00033362125
n	0.0009895005	0.15660788	0.34567904	0.43567643	0.05563006	0.0035755355	0.000602762	0.0012388034
è	1.646267e-05	0.008589107	0.032811746	0.7943845	0.14419626	0.009507455	0.003167135	0.007327354
c	0.018820643	0.0038999289	0.028908921	0.049377333	0.63635033	0.09905683	0.13852285	0.025063183
h	3.66158e-06	0.0013994636	0.0029349758	0.3269263	0.4279411	0.08814001	0.05856437	0.09409014
o	4.707004e-07	0.00010375749	0.0014708409	0.065789424	0.4282145	0.1538915	0.1435012	0.20702834
t	0.0060158884	0.00025181714	6.79035e-05	0.0003898197	0.117360935	0.31153014	0.24230152	0.32208195
i	6.0320945e-06	0.0003951318	0.00097107026	0.004043172	0.18838267	0.35770643	0.12118532	0.32731023
k	0.0024245933	0.00012710928	0.00036397437	0.00022374593	0.0025497584	0.5784705	0.27334812	0.14249222
à	3.5360652e-05	0.00016173553	0.0002786816	0.00061105564	0.0046749436	0.20432182	0.16456343	0.6253529
m	0.0047690785	0.00035595836	0.0009866247	0.0005015654	0.0008994275	0.22717065	0.6549884	0.11032836
i	1.9784945e-06	0.00036591897	5.915593e-05	0.00016734214	0.008392524	0.21349618	0.14143085	0.636086
</S>	0.051877163	0.010262851	0.009482575	0.023701815	0.017671233	0.049096547	0.2962827	0.54162514
