 	la	macchina	vuole	riparata	dal	meccanico	</S>
i	0.9838035	0.015200986	0.0009334752	4.2465017e-05	1.3115827e-05	6.261667e-06	3.609242e-07
m	0.9312789	0.06622105	0.0024736915	2.098792e-05	4.811292e-06	7.7303596e-08	5.987193e-07
à	0.1190255	0.84866184	0.030989662	0.0012950775	2.5100824e-05	1.6657494e-06	1.2401853e-06
k	0.060400452	0.8582667	0.07828552	0.0030266515	2.0262038e-05	8.1769976e-08	3.469619e-07
i	0.03472765	0.31471273	0.38952053	0.22579609	0.022935523	0.0042840024	0.008023444
n	0.0019111045	0.50658774	0.47077128	0.020477043	0.00024359403	3.396257e-06	5.8342116e-06
a	0.0029744375	0.71897835	0.23055992	0.046201423	0.0010039144	0.00019414672	8.774913e-05
t	0.0017056498	0.05625881	0.88036656	0.05895479	0.0026202514	6.026161e-05	3.364626e-05
è	0.0005546709	0.06334535	0.7547839	0.17295499	0.0065674144	0.0010523235	0.0007413489
l	0.0070447805	0.0027881556	0.8481993	0.1328895	0.008834824	0.00016564844	7.7753226e-05
i	0.0002765432	0.04807258	0.74189657	0.18188275	0.014310047	0.010454957	0.003106676
s	0.006146751	0.003279546	0.19740948	0.71515083	0.075693876	0.0013566784	0.00096278347
t	2.0460657e-05	0.00021068446	0.21790938	0.73617333	0.034214724	0.0069890846	0.004482297
i	1.8072873e-05	2.8909135e-05	0.025974888	0.7370867	0.1924901	0.017530393	0.026870871
a	0.0043519717	0.00022989062	0.0014974948	0.33748597	0.6429596	0.0033209973	0.010154105
m	0.0023417377	7.1793904e-05	0.00018565782	0.039697114	0.9381372	0.0048889723	0.01467753
m	0.00027703034	0.0005173437	0.0029885657	0.57475674	0.21839535	0.14161955	0.0614454
è	0.00010141383	1.909191e-05	0.00015563183	0.016216444	0.78404075	0.026474955	0.17299175
n	0.3648582	0.049561806	0.015759477	0.06534271	0.47486112	0.020055264	0.009561378
i	3.875613e-05	0.00017218254	0.0015809891	0.70777154	0.18074569	0.08832058	0.02137024
à	0.00078684604	5.8015587e-05	0.00019870843	0.0021566993	0.9482241	0.018389326	0.030186215
t	0.0002487354	2.6675476e-05	2.248954e-05	0.00027566234	0.72339344	0.043551005	0.232482
t	1.6748581e-06	5.1280335e-06	0.00011293246	0.01147864	0.38536662	0.38446873	0.21856618
o	1.3058034e-06	8.547251e-07	1.7857545e-06	0.0004755817	0.3546857	0.38502824	0.25980657
m	0.0012078788	0.00014364415	0.00021474843	0.00048835215	0.6934529	0.11693495	0.18755746
e	0.00016604055	0.00011338976	0.0006575153	0.0063470704	0.036835145	0.61108905	0.34479183
k	0.023979263	0.0012512185	0.0007564023	0.0008754811	0.030865245	0.1445266	0.79774576
k	3.7552556e-05	2.7778122e-05	0.00011287486	0.00076862215	0.0075727496	0.74288654	0.24859388
à	4.139193e-06	6.744844e-06	0.00026215464	0.0005735964	0.0113961985	0.4141194	0.5736378
n	0.0724076	0.01255992	0.10581482	0.036748808	0.043095764	0.29736674	0.43200636
i	1.23168e-05	1.8521509e-05	5.8078247e-05	0.00015557939	0.0035584453	0.9336523	0.06254484
k	0.031855073	0.008485985	0.007564035	0.0030994816	0.015747523	0.06294907	0.87029886
o	0.00010841461	7.484979e-05	8.327116e-05	0.00016427781	0.0019837555	0.82683367	0.1707518
</S>	0.13801286	0.038239937	0.03635487	0.017277695	0.020699373	0.04743378	0.7019815
