 	un	forno	che	fa	buon	pane	</S>
è	0.9820322	0.01218265	0.0007109218	7.2058414e-05	0.0049579795	3.2607357e-05	1.1478934e-05
n	0.9920806	0.004237449	6.456311e-05	4.5231873e-06	0.00361197	4.600777e-07	4.291734e-07
a	0.88497734	0.09159576	0.0132235745	0.0023634573	0.0061306194	0.00040552136	0.0013035911
f	0.7739009	0.058995195	0.004558997	0.00018470542	0.1623096	1.9436196e-05	3.1130363e-05
ù	0.018833684	0.9292761	0.04205274	0.0047606206	0.0044969437	7.917025e-05	0.00050072843
r	0.013155204	0.8826488	0.066293046	0.008727634	0.029109096	3.2575732e-05	3.348866e-05
n	0.00051466085	0.4564866	0.1279951	0.022734435	0.386709	0.0013032977	0.0042568627
o	0.0020840785	0.86181885	0.1104307	0.018192025	0.004620601	0.00075168133	0.0021019652
k	0.0042489767	0.06660976	0.770939	0.1388946	0.012111218	0.004603192	0.0025933587
a	0.0008636583	0.11065907	0.6323576	0.16717725	0.05431168	0.0050947657	0.029536014
i	0.0032124368	0.008854596	0.46602058	0.42307043	0.09041226	0.005799036	0.0026306831
k	0.024378331	0.002145423	0.1596822	0.663779	0.031040264	0.07276818	0.046206567
à	0.001005071	0.023743859	0.15186861	0.45375586	0.026981786	0.047639154	0.29500562
n	0.0024332663	0.0005683826	0.015008153	0.47666895	0.48270845	0.016464176	0.006148616
n	0.0001390817	0.0011167864	0.04297432	0.2530925	0.46053717	0.02566564	0.21647447
i	1.1606538e-05	3.7767706e-05	0.0049729296	0.29244357	0.033440415	0.34167236	0.32742134
t	0.026952716	0.00017410629	0.0008004216	0.022187281	0.0033170476	0.82838976	0.11817862
s	1.3769732e-05	9.23651e-05	0.00044047952	0.059025533	0.0032732054	0.14190258	0.795252
o	1.6419168e-06	4.3164955e-06	2.1081474e-05	0.004590136	0.00012360423	0.4268643	0.5683949
m	0.0012751623	2.2477994e-05	0.00036236705	0.002001831	0.00048355226	0.67528886	0.3205657
ì	0.00031486087	0.00010925306	0.00013513667	0.00044605543	2.423047e-05	0.07680476	0.92216575
k	0.01832687	0.00061403925	0.0025728648	0.008332887	0.08199383	0.3525484	0.5356111
a	0.00010152249	0.0002163796	0.00053657836	0.0007630987	0.009984307	0.2966127	0.6917854
l	0.020203913	0.00080654887	0.0071491613	0.021734256	0.11300478	0.15267602	0.6844253
ò	0.0008720419	0.0011747101	0.0034278554	0.0016925315	0.0033954303	0.15215383	0.8372836
</S>	0.01911203	0.002419915	0.012272196	0.032291513	0.70686877	0.039872494	0.18716301
