 	mio	padre	ha	lavorato	sempre	</S>
o	0.98412204	0.014196408	0.0011632335	0.0005028918	1.3514582e-05	1.9707784e-06
c	0.9268885	0.07232972	0.000653596	0.00012708583	4.1398766e-07	6.7248186e-07
i	0.39698228	0.58249575	0.020336945	0.0001805256	2.6835485e-06	1.7738628e-06
ù	0.07206836	0.84673756	0.08045636	0.0007328891	1.7404587e-06	3.029991e-06
r	0.00037738922	0.80197203	0.160001	0.036692116	0.000373605	0.00058382965
i	0.005876173	0.47132498	0.42620316	0.06972884	0.023090772	0.0037760206
m	0.0056309123	0.78245836	0.19849981	0.013237063	9.021289e-05	8.3648956e-05
m	0.008234152	0.408024	0.5647836	0.016143871	0.001588909	0.0012254729
u	0.0045476677	0.033637475	0.43530935	0.5187333	0.0010974082	0.0066747144
è	0.026045015	0.11941625	0.6822512	0.1593764	0.0021700815	0.010741104
p	0.00056477584	0.028644357	0.40004537	0.565483	0.0026681467	0.0025944184
o	5.302242e-06	0.0009812756	0.38566324	0.39387837	0.18081327	0.038658567
l	0.0025374226	0.00068096875	0.012700866	0.96609414	0.009102524	0.0088841375
e	0.00016156338	0.00064574654	0.041224368	0.59140706	0.31636396	0.050197307
m	0.020050757	0.00023823878	0.0021027979	0.851846	0.045970496	0.07979175
i	0.00026290776	0.000649432	0.006349487	0.5278333	0.32189086	0.14301404
m	0.1041291	0.00070162833	0.0016565727	0.4875448	0.17250109	0.23346677
m	0.0001724594	0.00027727018	0.0009961961	0.21895121	0.48600733	0.29359552
è	4.7163547e-05	5.8094756e-05	0.00022295627	0.042505935	0.11045912	0.84670675
n	0.7465352	0.03417807	0.0018177639	0.0061881733	0.15621924	0.055061564
a	0.00016653248	9.7211305e-05	0.00025353438	0.19577678	0.7016574	0.10204845
p	0.001388524	0.0004405435	0.002688084	0.017236425	0.6215264	0.35672003
à	0.00010878378	3.1702057e-05	0.0002557581	0.0014756822	0.55557936	0.44254872
n	0.07181374	0.0024497265	0.009036004	0.0049335985	0.39363986	0.5181271
t	1.045787e-05	6.1830024e-06	7.377371e-05	0.00088210776	0.93028295	0.06874457
a	1.32176665e-05	5.4100537e-06	3.3989847e-05	0.00020751292	0.48341307	0.5163268
</S>	0.010899184	0.002640633	0.0070532747	0.0033492332	0.15899023	0.8170675
