 	se	si	era	vestito	la	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.9141828	0.08541159	0.00035144843	2.8601715e-05	2.0923944e-05	3.994265e-06	5.7842374e-07	7.069839e-08	1.3668595e-08	2.1804214e-09	1.5718471e-09	1.0178267e-09
n	0.022207245	0.842348	0.12994058	0.00546369	3.3971377e-05	5.360151e-06	6.377267e-07	4.156754e-07	5.0618137e-08	1.8249224e-08	2.934021e-08	5.341418e-08
ì	0.007762604	0.7539386	0.23224072	0.00543939	0.00046187086	0.00011380191	3.256185e-05	9.441562e-06	8.519281e-07	1.1796056e-07	2.7554735e-08	1.547474e-08
c	0.00030674477	0.12741761	0.857388	0.007980783	0.006855317	3.7574282e-05	1.0881571e-05	2.858085e-06	2.5603234e-07	1.3377126e-08	2.1477113e-09	8.146931e-09
h	0.04474086	0.42453802	0.5022558	0.025738508	0.0018952431	0.00061346433	0.00013775351	6.022254e-05	1.3607744e-05	3.706032e-06	2.111148e-06	6.6462405e-07
a	0.027067402	0.4242358	0.5051807	0.035841115	0.004464228	0.0024071133	0.0005981029	0.00015910965	3.3746517e-05	9.432775e-06	2.4944839e-06	7.010161e-07
n	0.0002775117	0.0037330997	0.9188506	0.076252036	0.0008302663	4.5192894e-05	6.307742e-06	3.5731891e-06	7.326825e-07	1.7687125e-07	1.5396414e-07	3.4008104e-07
d	0.00018946762	0.015559549	0.8819715	0.09360139	0.0052924016	0.002498366	0.00063016417	0.0002334932	1.8580944e-05	2.946405e-06	1.2307019e-06	8.557078e-07
ì	0.011515069	0.0038159406	0.032190632	0.3876059	0.4047713	0.1063801	0.042364907	0.008163444	0.0021494185	0.0006464221	0.00020555196	0.00019137416
s	0.00072304124	0.0014224919	0.045379177	0.66057646	0.2761674	0.011649235	0.0037262286	0.00021279421	0.00013533584	5.0929825e-06	3.387115e-07	2.4557762e-06
o	0.0009103764	0.004191491	0.31884387	0.5408655	0.099149875	0.026230821	0.0050788433	0.00407038	0.0004889274	6.470806e-05	6.114884e-05	4.4078184e-05
n	0.0024025443	0.0018877019	0.009697501	0.43128952	0.4978306	0.05021413	0.0061058565	0.00031579926	0.00023997012	8.683614e-06	1.3004786e-06	6.30942e-06
t	0.0009253947	0.00047443464	0.030034432	0.42939928	0.30533153	0.1780577	0.037994355	0.016037852	0.0013026706	0.00019589512	0.0001455933	0.000100824516
a	0.0052053984	7.6398166e-05	0.00018095358	0.007889317	0.5423604	0.31568152	0.0989136	0.02450598	0.0037023206	0.000767704	0.00022271853	0.00049367803
i	0.010514428	0.0032950598	0.0012714666	0.007976552	0.7205637	0.19597425	0.054411158	0.0036027408	0.0022914375	6.863709e-05	4.2744596e-06	2.6350925e-05
k	0.009941354	0.0014373437	0.0003196213	0.0014790813	0.50227153	0.29534712	0.1449941	0.02773779	0.015619732	0.00066723395	1.5500447e-05	0.00016958747
i	0.006923545	0.0021269098	0.0021119004	0.045146756	0.34377712	0.40809596	0.12799592	0.04819681	0.008656355	0.002512291	0.0029348137	0.0015215771
a	0.23968507	0.0075883036	0.00013271684	0.00048244977	0.4397582	0.25511372	0.046431582	0.007946197	0.002736848	9.009047e-05	6.429538e-06	2.8460912e-05
t	0.0052654836	0.00078752893	0.00019329583	0.00023808828	0.08831227	0.42400035	0.3005122	0.11612436	0.060720798	0.003071816	9.831131e-05	0.0006755095
è	0.0013400981	1.1358534e-05	1.0139128e-05	0.00010547073	0.05073538	0.56946814	0.18281735	0.15315163	0.025133852	0.009130804	0.0043930155	0.0037028124
r	0.13175173	0.0007826306	2.1300393e-05	6.630451e-05	0.020870717	0.35071826	0.19821236	0.24205087	0.047902565	0.0057914443	0.00058180914	0.0012500153
a	3.7174857e-05	7.236376e-05	0.00017189315	0.0071283113	0.1118775	0.46125516	0.21807714	0.14481312	0.032270383	0.008105555	0.011519041	0.0046723024
i	0.0025966167	0.00031455985	5.6068628e-05	2.0434227e-05	0.0030937975	0.11658507	0.6162247	0.12223337	0.12998441	0.006580624	0.00036088066	0.001949515
n	0.0013403274	0.0002980277	4.456864e-05	2.3953125e-05	0.000496056	0.027776295	0.2010591	0.41241825	0.31552523	0.030970566	0.0012652287	0.008782361
ì	0.000103407714	1.6964242e-06	1.0381867e-06	1.6477918e-05	0.00061625004	0.06624241	0.16523649	0.4592473	0.14139952	0.09353177	0.04205255	0.031551097
c	0.0119059235	0.0006990962	1.9485604e-05	4.3014057e-05	0.00063424505	0.01439304	0.09935109	0.5333883	0.23853144	0.06948337	0.008294016	0.023257062
h	3.5221008e-06	8.448544e-07	1.75622e-05	2.6409181e-05	0.0032867922	0.06537193	0.30003655	0.28418595	0.19631217	0.08750535	0.040458877	0.022794068
a	6.5945287e-06	6.1860833e-06	1.7838167e-05	2.0988333e-05	0.00020583332	0.00891746	0.21142541	0.1190724	0.2847374	0.17066681	0.10052293	0.10440018
p	0.00014503364	0.00011227399	2.2237811e-05	2.2747932e-05	0.00059409084	0.006950334	0.049022485	0.029199835	0.74195004	0.10781311	0.009100076	0.055067647
à	0.007586743	0.00028008336	0.00015913896	8.8440465e-05	0.00033827836	0.015491721	0.03494571	0.13073567	0.28643554	0.15521158	0.17100129	0.19772582
r	0.0028942449	0.0012558288	9.674589e-05	0.00012116752	0.0012039606	0.005605297	0.011679859	0.0053779306	0.48557252	0.28806722	0.042803816	0.1553215
o	6.278849e-05	0.0003295213	0.00084667193	0.000461782	0.0003310471	0.010903842	0.13810782	0.060953546	0.30732626	0.1156029	0.2585322	0.106541656
n	0.0005357122	0.0019256485	0.0008680918	0.00056783366	0.0023066434	0.0061714137	0.007900076	0.003541296	0.21966256	0.30922484	0.12123147	0.3260644
t	4.6574314e-05	8.414844e-06	3.220758e-06	3.8963144e-06	4.279591e-06	0.00031866887	0.00034963898	0.008699776	0.0521674	0.34028712	0.3968303	0.2012807
a	8.080937e-06	1.7020307e-06	4.803326e-07	1.5897748e-06	3.963942e-06	0.000118931195	0.00025062886	0.0050810515	0.012133997	0.31464925	0.4015531	0.2661972
s	7.5922726e-05	0.00037793466	0.00012482255	0.00028921542	0.0022816344	0.008665052	0.009275769	0.0044450397	0.12640014	0.312995	0.15261433	0.38245514
t	3.2875127e-05	6.4764854e-06	2.1332999e-06	3.0179983e-06	3.311817e-06	0.00013156135	0.00014858063	0.0026804663	0.009825987	0.25835356	0.47145286	0.25735912
i	7.4187774e-06	1.4912257e-06	4.165017e-07	1.2457803e-06	2.9449807e-06	6.239524e-05	9.0349226e-05	0.0010725782	0.002883054	0.18655041	0.52453244	0.28479522
n	6.026369e-05	0.00043843588	0.00013138245	0.00041837996	0.002627927	0.007047845	0.007570628	0.003503694	0.034377966	0.16594675	0.22135086	0.5565259
a	1.7867975e-05	3.075447e-06	9.596156e-07	1.4562951e-06	1.9421034e-06	6.678866e-05	6.271534e-05	0.00073146116	0.0028119788	0.15446407	0.55061287	0.29122487
g	0.00023077309	0.001062332	0.0002530759	0.00093184796	0.0052161505	0.0025117078	0.0055721486	0.0032826646	0.0039091464	0.07199548	0.5517814	0.35325328
l	0.0001450169	1.7703696e-05	6.9971106e-06	3.6907645e-06	3.5808023e-06	0.00025937898	0.00011680517	0.00030689305	0.0044746315	0.06651282	0.5584825	0.36966988
i	3.0031645e-06	1.0641494e-06	7.279215e-07	1.1112058e-06	3.69861e-05	0.00012228175	0.00015856157	4.8713107e-05	0.0018912917	0.01577232	0.4521169	0.529847
s	0.0005630508	0.0015610692	0.00025955465	0.00045028556	0.0035271416	0.011664899	0.009476967	0.0011708739	0.021798678	0.032048065	0.15160865	0.7658707
ì	4.3548434e-06	8.2077054e-07	8.7128933e-07	6.538613e-07	2.694173e-05	0.0005089255	0.00065417413	0.00010607561	0.0029383327	0.019322403	0.4295909	0.54684556
a	0.0021234525	0.008692292	0.0027914867	0.005310604	0.11684812	0.118241265	0.097962275	0.007665963	0.12853293	0.08369941	0.108824715	0.31930745
</S>	0.00064186857	0.005821709	0.0015160672	0.0053796433	0.026320713	0.03442487	0.040162474	0.014148488	0.047821738	0.08931925	0.13864203	0.5958011
