 	non	ci	dimentichiamo	mai	</S>
e	0.8515803	0.14763021	0.0007484311	2.9764044e-05	1.1144307e-05
n	0.99442405	0.0055695963	1.8177103e-06	2.4867509e-06	2.0878886e-06
è	0.8661757	0.1331578	0.00053171586	5.1581024e-05	8.3071456e-05
n	0.9773861	0.021732785	0.00032675214	0.000281359	0.00027301267
a	0.78421813	0.21392438	0.0005057605	0.00041380717	0.0009379718
a	0.3950938	0.53255934	0.053063814	0.010173969	0.009109066
l	0.04521968	0.8747574	0.06808918	0.007910593	0.004023126
l	0.011778942	0.8815293	0.09763676	0.0029098124	0.006145193
i	0.004823348	0.1131831	0.5831395	0.11356606	0.18528803
m	0.0043075597	0.10464147	0.8775103	0.009564146	0.0039765458
o	0.00751028	0.8121579	0.15780371	0.0072859353	0.0152421845
n	0.005488917	0.018910531	0.954613	0.015283648	0.0057038893
i	0.00096347235	0.13978311	0.44918558	0.060415216	0.34965265
s	0.053657234	0.00720546	0.2532874	0.44351926	0.2423306
t	0.000114857015	0.0051052095	0.3745992	0.17861237	0.44156843
ù	2.022448e-05	0.0007214873	0.032973774	0.36548677	0.6007978
m	0.019886857	0.0055147917	0.045718595	0.6741796	0.25470012
e	0.00010106014	0.007655458	0.0450047	0.3541207	0.5931181
s	0.0026247632	0.00019028451	0.00091157213	0.6965003	0.2997731
t	1.0200368e-05	0.0012432502	0.0042578173	0.48871037	0.5057784
a	1.676186e-06	0.000108780754	0.0007315885	0.52873224	0.4704257
m	0.001277733	9.570959e-05	0.0012141692	0.57666004	0.42075235
à	0.0005205436	0.0027609938	0.0005715603	0.29501355	0.7011334
i	0.24265857	0.0034993954	0.009218236	0.23091267	0.51371115
</S>	0.19869047	0.0015293182	0.008846361	0.17592494	0.6150089
