 	era	molto	stanco	</S>
ì	0.998089	0.0014366389	0.00022469084	0.00024971826
o	0.9800348	0.019451156	0.0004812821	3.2717035e-05
n	0.88175416	0.11021049	0.007194012	0.0008413215
e	0.793904	0.19372989	0.009952166	0.0024140214
p	0.042658612	0.86168665	0.088168904	0.007485948
o	0.011484285	0.8895823	0.04625903	0.05267437
d	0.004781328	0.84006286	0.12769867	0.027457235
d	0.0042302026	0.3578491	0.22725911	0.41066158
h	0.00045751268	0.0291316	0.263245	0.70716584
ì	0.00012540609	0.009150641	0.18904588	0.80167806
s	0.0057100123	0.07233192	0.2614685	0.6604895
t	8.369138e-05	0.13266732	0.6880735	0.17917557
r	2.772645e-05	0.0024275198	0.37826145	0.61928326
à	0.0063608177	0.0050756796	0.7531885	0.23537499
k	0.29184982	0.0032849768	0.08023403	0.62463117
k	3.0349267e-05	0.0010428473	0.6381462	0.3607807
o	0.023416962	0.005854391	0.080382936	0.89034575
</S>	0.7474891	0.002871717	0.011565672	0.2380735
