 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.9841007	0.015363981	0.00038126876	7.2856135e-05	5.466047e-05	2.652609e-05
c	0.99952686	0.0004332258	3.8420774e-05	9.478132e-07	4.6865682e-07	1.6260606e-07
h	0.9425022	0.05223029	0.003922911	0.0002748736	2.1440961e-05	0.0010484328
a	0.99321234	0.0066679213	0.000103295366	5.5241558e-06	3.6113343e-07	1.0529376e-05
n	0.9740347	0.016566722	0.0085445065	0.00060719164	7.767785e-05	0.00016926369
a	0.1480905	0.8338886	0.016944569	0.00043556173	3.1599113e-05	0.00060918677
v	0.1435903	0.6243262	0.22843146	0.0028135085	0.0004441724	0.00039428123
o	0.00038451346	0.9405756	0.05589252	0.001124004	8.301214e-05	0.0019404386
r	0.027225867	0.60063165	0.36723056	0.0036990752	0.0008643916	0.00034850134
à	0.00025429289	0.84754395	0.12997396	0.005725588	0.00081620563	0.01568601
s	0.0013001869	0.0457053	0.87863666	0.057848755	0.009885383	0.0066236374
o	0.0009931454	0.82483435	0.1389618	0.012485016	0.00081325613	0.021912493
t	0.044502858	0.016591262	0.62995374	0.20829256	0.044462003	0.05619763
s	0.00048677195	0.06114736	0.6762334	0.10408205	0.009511306	0.14853914
o	0.00039425422	0.00041633126	0.08849149	0.25496307	0.14106257	0.5146723
m	0.01976568	0.00037996547	0.010545568	0.482317	0.21588188	0.27110988
ì	0.32849872	0.019693483	0.018755486	0.12843846	0.037890878	0.46672297
k	0.18122388	6.387932e-05	0.00064280606	0.2052357	0.4823566	0.13047715
u	8.329609e-05	0.00031342517	0.0031844946	0.44839585	0.055866305	0.49215662
à	0.0014598919	5.966222e-06	8.171975e-05	0.07156887	0.7361076	0.19077589
i	0.0002720366	3.6268518e-06	3.6936282e-05	0.032540858	0.80876637	0.15838026
m	0.00057657546	1.8075665e-05	6.325704e-05	0.01202219	0.84570545	0.14161448
è	0.009416155	0.0002754404	0.00014269723	0.004235661	0.15140659	0.83452344
r	0.021959543	0.000112957314	0.00071925623	0.014276379	0.62852716	0.33440474
i	0.103504635	0.0058123083	0.0009878959	0.0030717286	0.23832677	0.6482967
</S>	0.01557845	0.0010194984	0.0055185515	0.05116636	0.304082	0.6226352
