 	vuole	pianto	</S>
i	0.9486278	0.045337867	0.0060342257
t	0.99860173	0.00039682724	0.0010015472
è	0.9786517	0.008982376	0.012366008
l	0.9927994	0.0005935321	0.00660709
i	0.5278066	0.31553474	0.15665872
k	0.92609423	0.036017016	0.03788876
l	0.008762548	0.76582175	0.22541566
a	0.0010597777	0.93912286	0.059817348
m	0.0075327773	0.935699	0.05676825
m	0.008290411	0.68563706	0.30607256
è	0.00051687006	0.0014900239	0.9979931
n	0.0070411563	0.02857422	0.9643846
o	0.00013619158	0.9928912	0.00697255
</S>	0.06508156	0.012177166	0.9227413
