 	io	non	ho	cosa	da	mangiare	</S>
e	0.65204185	0.33821464	0.009301437	0.00041732125	1.5481886e-05	5.934109e-06	3.3276224e-06
v	0.9315942	0.06289259	0.005215956	0.00027155038	1.5801697e-05	6.8590075e-06	3.0978654e-06
ò	0.048788108	0.27259606	0.66069335	0.017613659	0.00026029273	1.3573977e-05	3.4979097e-05
e	0.057144344	0.76687586	0.15574116	0.01890144	0.0011754904	0.00011709126	4.460265e-05
n	0.043400154	0.21788187	0.6839217	0.053990785	0.00057581184	0.0001611654	6.844664e-05
è	0.071394295	0.123129554	0.7801437	0.024157686	0.00086506305	0.00011892241	0.00019077254
c	0.036668163	0.07096916	0.42575568	0.43088487	0.024801422	0.008545106	0.0023756789
h	0.16021986	0.0369503	0.5776043	0.18569405	0.02520253	0.006355386	0.0079735685
o	0.04427682	0.017840708	0.52769077	0.33854502	0.05199525	0.009906656	0.009744849
t	0.035222754	0.0011151903	0.043091934	0.6535781	0.11685944	0.109322414	0.040810257
i	0.00062873383	0.001917008	0.047678255	0.8045399	0.10148435	0.015994221	0.027757514
è	0.059699938	0.0026880873	0.0015094284	0.024555681	0.6490513	0.19413781	0.06835773
n	0.0061904415	0.00045503612	0.0003055061	0.002985078	0.5815493	0.23302126	0.17549339
a	3.0659892e-05	1.6194268e-05	0.00038248973	0.04414488	0.48889357	0.21890107	0.24763118
f	0.0025805586	0.0012720956	9.1631155e-05	0.0002425791	0.17428808	0.55141556	0.27010953
à	0.00046259296	0.00028330594	0.0005469882	0.0029166264	0.24082085	0.3243963	0.43057328
o	0.0039141607	0.0026997628	0.00010563105	0.00016942823	0.019284226	0.7075292	0.26629764
</S>	0.0007237587	0.0009844273	0.00020508764	0.00022970741	0.019179106	0.46824643	0.5104315
