 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a	0.9652082	0.033967607	0.00081312744	5.1045968e-06	4.546006e-06	1.3408678e-06	1.4596725e-08	2.451818e-08
n	0.012359271	0.9801907	0.005119979	0.0023164211	9.414681e-06	3.2241528e-06	3.6906602e-07	5.2246276e-07
è	0.018486748	0.862946	0.11506566	0.003282689	0.00020100482	1.7434604e-05	1.08812216e-07	4.035807e-07
r	0.00061245885	0.96813256	0.018101435	0.012114126	0.00082511525	0.00013099218	6.626375e-05	1.7143202e-05
k	0.0024576518	0.4233157	0.28800336	0.26344198	0.02219882	0.0003783024	1.0756686e-05	0.00019343071
e	0.028603407	0.122427344	0.72766834	0.10277953	0.013811496	0.0044840304	0.00017524074	5.057099e-05
s	0.00018074228	0.023079887	0.048754785	0.92041975	0.007157228	0.00020880888	0.00016276978	3.5949644e-05
e	0.0009256542	0.0115617495	0.9599014	0.02566777	0.0016719013	0.00026330168	6.138928e-07	7.652769e-06
s	0.0006952895	0.0055100084	0.030604227	0.94201374	0.020643497	0.00032327895	0.00013595328	7.403207e-05
e	0.0016536638	0.001045238	0.87433285	0.08923954	0.027259381	0.006267607	2.0239617e-05	0.00018157884
s	0.031019868	0.016441142	0.036837004	0.6184981	0.28487647	0.009663493	0.0015324757	0.0011314874
e	0.004921474	0.00038315743	0.40689558	0.28061113	0.24545649	0.059498217	0.0002544441	0.0019794907
t	0.11837414	0.008515496	0.013931006	0.081666276	0.72530246	0.044057082	0.0041843588	0.0039692195
t	0.0020636506	5.561383e-05	0.05487957	0.31551388	0.5013756	0.12133673	0.00074214593	0.004032833
à	0.0061216867	8.430329e-06	0.0008313786	0.0031176594	0.5678517	0.3718707	0.009447876	0.040750556
s	0.015773041	0.0014181611	0.0051974403	0.018387925	0.82714343	0.11632281	0.0077803624	0.007976886
t	6.4599124e-05	4.4609053e-05	0.002163051	0.62673044	0.333716	0.032079738	0.0003238846	0.0048777144
e	0.0019838957	4.1644275e-06	0.00048291305	0.005894947	0.5026022	0.4493094	0.011152748	0.028569745
a	0.0077002933	0.0030239967	0.0139126545	0.0017734997	0.55033195	0.28614932	0.053568717	0.08353955
n	0.006275267	0.0012285128	0.008403724	0.0006012607	0.29956916	0.48617965	0.06785004	0.1298924
k	0.00042603584	2.0316902e-06	0.000877043	0.0003389606	0.16010505	0.7966761	0.013359779	0.028215086
ò	1.5254912e-05	1.6035857e-07	6.5663924e-05	4.295345e-05	0.032486215	0.43608823	0.23418109	0.29712042
r	0.01449666	0.004626487	0.000100761914	0.00011001322	0.017030912	0.65677553	0.2750605	0.031799186
a	0.00015338049	8.2013365e-05	0.0011888286	0.009072211	0.2968821	0.6669758	0.0066938703	0.01895187
m	0.0024677876	0.0018510851	0.00016880565	3.22875e-05	0.0030714103	0.22951606	0.5986368	0.1642558
a	0.00287178	3.141428e-05	0.01494608	0.0008808156	0.022272991	0.8097706	0.027535336	0.12169105
r	0.0051787393	0.0035046383	9.915211e-05	3.7767502e-05	0.0007229223	0.040418796	0.7939216	0.1561164
è	0.0008448825	6.2087376e-05	0.002622247	0.000413555	0.0036460776	0.5251789	0.14170982	0.32552242
o	0.0014117496	0.0024145935	4.759641e-05	8.316357e-05	0.0032656805	0.053462338	0.767704	0.17161088
</S>	0.00041765466	0.0010824916	0.000115550596	0.00017787043	0.0017670324	0.05219539	0.5944429	0.34980106
