 	avete	fatto	già	le	verdure	</S>
i	0.966629	0.02831454	0.0048072073	0.00015061347	9.322703e-05	5.3655353e-06
k	0.9891261	0.0058593773	0.0048740725	0.00010509989	1.0105145e-07	3.5359742e-05
à	0.13011774	0.82360566	0.03967005	0.0064048823	0.00015266231	4.909543e-05
m	0.2923059	0.69193256	0.014460776	0.0008038933	2.932826e-07	0.00049655425
a	0.01922388	0.54492027	0.25288695	0.15203154	0.008248729	0.022688603
t	0.0027722993	0.62161064	0.31379	0.058166668	1.625411e-05	0.0036441712
o	0.0064031053	0.3057463	0.57380676	0.106754765	0.0049272315	0.0023618827
g	0.0024843514	0.013243229	0.89943707	0.0723421	4.2237694e-05	0.012451028
i	0.010058196	0.105109915	0.7027655	0.1359733	0.042740792	0.0033523117
à	0.014255259	0.017554907	0.85685134	0.04913796	0.00017543024	0.06202504
t	0.0017198483	0.0003600672	0.14461128	0.49752128	0.0012265042	0.35456097
a	5.7834136e-06	0.00010981738	0.30397165	0.5027145	0.16070265	0.032495517
l	0.0068398975	0.00019994847	0.010998478	0.18066381	0.006624975	0.7946729
à	0.000115096984	7.763144e-05	0.032146577	0.4181549	0.51734805	0.032157674
c	0.00514676	7.918775e-05	0.00024498874	0.00825343	0.0016107787	0.98466486
h	4.1417727e-05	3.402786e-05	0.0026031537	0.31573743	0.6188286	0.06275545
a	3.3649808e-06	1.1720269e-06	2.8759832e-05	0.0049807495	0.96186364	0.033122245
n	0.021428315	0.0013618215	0.0060794554	0.0033388808	0.043785356	0.9240062
a	1.5550479e-05	1.20912455e-05	4.3860826e-05	0.00031883802	0.98267823	0.016931504
</S>	0.6917464	0.014552677	0.004499996	0.003191249	0.16796137	0.1180483
