 	nella	pasta	vuole	sale	</S>
s	0.98680216	0.012272421	0.00015817037	0.0006066769	0.00016059808
t	0.84813124	0.15056024	0.00096434756	0.00019695074	0.0001471889
i	0.9750665	0.024629371	0.0002503491	2.8857368e-05	2.4994104e-05
p	0.13007523	0.83921117	0.022156073	0.0067236526	0.001833921
à	0.2534327	0.48405346	0.2551499	0.0015376894	0.005826236
s	0.02055407	0.8570745	0.116614886	0.004711388	0.0010451176
t	0.14407921	0.6025262	0.17253761	0.028011201	0.052845746
a	0.30748987	0.39161628	0.25195128	0.012690848	0.036251742
t	0.001974018	0.16242601	0.70385754	0.092956215	0.038786147
è	0.0017838262	0.0029329262	0.8315281	0.023587648	0.1401675
l	0.0028766664	0.0024606842	0.24768046	0.6803302	0.06665198
i	0.0005911258	0.056321338	0.70880836	0.09156471	0.14271446
à	0.002790545	0.0013453731	0.13336551	0.55127954	0.31121907
l	0.00087703863	0.0005223589	0.015344676	0.5896659	0.39359
a	5.031777e-05	0.00018930095	0.032787442	0.44668362	0.5202893
</S>	0.0029332375	0.00068740576	0.003531714	0.22459626	0.7682514
