 	allora	io	ora	sto	studiando	di	maestra	ma	ho	una	sorella	mia	sorella	studia	quest'	anno	che	viene	per	medico	</S>
a	0.98868597	0.010781932	0.00045518513	6.4010965e-05	9.963732e-06	1.7921612e-06	7.5390403e-07	1.247999e-07	7.089892e-08	2.2762412e-08	3.508252e-08	6.6605117e-09	1.4804413e-08	3.0687994e-09	2.2285167e-09	2.234177e-09	1.1757153e-09	6.1976524e-10	3.5106512e-10	3.1473418e-10	5.7867056e-10
l	0.0292935	0.30395752	0.66672015	9.812181e-06	1.6562628e-05	2.0357106e-06	1.2958391e-07	1.3474877e-07	6.0495324e-08	3.9440437e-08	1.1430654e-08	1.6906338e-08	6.054135e-09	1.8551376e-08	6.771934e-09	6.3176775e-09	4.0997703e-09	2.7086302e-09	1.7193342e-09	8.752538e-10	1.703302e-08
l	0.51167166	0.45986137	0.01073289	0.015925754	0.0010932335	0.00042455108	0.00017796493	3.3066102e-05	4.2753843e-05	1.0646922e-05	1.07871665e-05	3.0057097e-06	4.849251e-06	2.3049533e-06	1.9027774e-06	1.3845059e-06	1.087801e-06	2.8891833e-07	1.0486485e-07	7.007872e-08	3.4447405e-07
ò	0.6601712	0.31797817	0.018735476	0.0020539828	0.0008415512	0.00013799661	5.701798e-05	1.24162725e-05	5.994288e-06	1.8192706e-06	2.2383729e-06	4.2751554e-07	9.485951e-07	1.8242106e-07	1.6001468e-07	1.868461e-07	1.3372302e-07	6.803666e-08	2.4571879e-08	1.874321e-08	3.1824946e-08
r	0.0013382988	0.9864991	0.010663567	0.0011640333	0.0002867339	4.4490866e-05	2.1015305e-06	1.2143046e-06	5.189602e-07	5.626417e-08	1.592975e-08	1.1076367e-08	3.9626804e-09	1.0619048e-09	1.0058554e-09	1.2071854e-09	1.0898796e-09	6.0998095e-10	7.0940885e-11	6.459007e-11	4.8114596e-10
a	0.37821892	0.51253265	0.057882506	0.049347986	0.0016588779	0.00029828624	4.0623465e-05	5.6745303e-06	7.844373e-06	1.8876439e-06	2.1508347e-06	5.444658e-07	8.4326837e-07	4.5139572e-07	3.4609047e-07	1.511032e-07	8.570164e-08	1.7592457e-08	1.2637099e-08	1.4384916e-08	1.928197e-07
e	0.0008782276	0.95125055	0.04109585	0.0051878123	0.0012861406	0.00026149323	2.6739956e-05	1.0106371e-05	1.9596373e-06	5.134132e-07	2.5306812e-07	6.750527e-08	8.821038e-08	1.2117048e-08	1.4234247e-08	9.142224e-09	9.39295e-09	3.901668e-09	5.504908e-10	5.128213e-10	6.156864e-09
v	0.021202143	0.7756916	0.20270209	0.00026065754	0.00013237003	7.992906e-06	1.5569018e-06	1.014205e-06	2.2640033e-07	1.14802404e-07	6.7707916e-08	2.9477567e-08	3.8820616e-08	1.2781235e-08	1.0392855e-08	1.26064545e-08	1.2770659e-08	4.4920387e-09	5.347261e-10	2.9431074e-10	3.8141765e-09
ò	0.007663847	0.24300912	0.13482198	0.55092704	0.033585716	0.016413389	0.00893675	0.001310772	0.0014373133	0.00041830115	0.000640916	0.00014193487	0.00029436327	0.000107127424	8.892278e-05	7.790736e-05	5.4439995e-05	2.1356287e-05	1.1998841e-05	9.353266e-06	2.7443522e-05
à	0.00066426105	0.2531417	0.64574957	0.08174736	0.01678884	0.0017831987	9.377669e-05	1.8589782e-05	7.890906e-06	1.5654547e-06	2.0971206e-06	3.1515435e-07	6.126148e-07	6.294065e-08	7.0299926e-08	3.5867494e-08	3.13737e-08	1.00096536e-08	2.4933922e-09	5.3058153e-09	4.8996167e-08
