 	il	lenzuolo	vuole	lavato	</S>
o	0.9842589	0.015349483	0.00021267775	0.00014914226	2.9758101e-05
p	0.1835866	0.8088703	0.005520489	0.0018034845	0.000219089
l	0.4214355	0.5695484	0.008662655	0.00015419291	0.000199191
a	0.2858661	0.7020381	0.007968923	0.0019385769	0.0021882358
ù	0.05624256	0.7508633	0.19061865	0.0018112948	0.00046416023
n	0.0043977574	0.5198049	0.38118953	0.0663203	0.02828747
a	0.014515316	0.573467	0.26099315	0.07748999	0.07353455
t	0.0011591916	0.025636869	0.8922327	0.06697105	0.014000106
è	0.0017428844	0.08325545	0.80075336	0.042863708	0.07138452
l	0.0008180991	0.0004136969	0.6717494	0.2841362	0.042882588
i	0.00016659533	0.05630975	0.5445378	0.2705759	0.1284099
p	0.0030435747	0.00071862584	0.04199214	0.8033325	0.15091306
l	0.0011743756	0.00056887855	0.06574289	0.36584955	0.5666643
i	0.00018204255	7.298809e-05	0.00084939285	0.6196724	0.3792232
m	0.010987156	0.0010945484	0.0048150355	0.77084255	0.21226068
è	0.00027636634	9.112412e-05	0.0030341689	0.29878438	0.697814
n	0.06788572	0.058736634	0.02811895	0.28400323	0.56125546
o	0.0009787943	0.0013179384	0.0014743047	0.7362552	0.25997365
</S>	0.012063449	0.0051474203	0.012910215	0.030074459	0.93980443
