 	sta	e	dorme	nel	letto	</S>
s	0.98747706	0.011984667	0.00047532681	5.1701398e-05	5.9248787e-06	5.271596e-06
t	0.7467013	0.24937265	0.003768705	0.00013277562	1.0885227e-05	1.3698089e-05
e	0.8129702	0.18433404	0.00263736	5.526886e-05	1.021816e-06	2.0192615e-06
c	0.028223936	0.94756603	0.023054386	0.00038280874	0.0005618301	0.00021089657
e	0.022422194	0.46398407	0.5073707	0.005814022	8.6628585e-05	0.00032244445
p	0.0039352537	0.26533344	0.69610935	0.017819123	0.014324761	0.00247814
l	0.0011164509	0.016495394	0.9102914	0.06650072	0.0008089313	0.0047871117
ò	0.0037809205	0.039075248	0.50628823	0.18525992	0.06602106	0.19957465
n	0.00021139062	0.008368259	0.8480358	0.124878004	0.010729361	0.0077772206
n	0.0006472749	0.009240541	0.7076899	0.27007318	0.0030611178	0.009287967
i	6.198857e-05	0.00020660117	0.23662007	0.6879456	0.019441972	0.055723727
s	0.010139787	0.0024735294	0.05681191	0.80333966	0.07861277	0.048622265
t	0.0006824929	0.00035883996	0.05414313	0.583935	0.071515985	0.2893645
o	4.071246e-05	1.0510691e-05	0.0014491951	0.22130719	0.18179043	0.595402
g	0.016478635	0.0026343472	0.0021255123	0.081819765	0.31913838	0.5778034
r	0.00029058306	0.0002518166	0.0070345188	0.3099192	0.2085479	0.47395602
à	1.9908432e-06	3.0149579e-06	5.5748726e-05	0.010444348	0.17833394	0.8111609
t	0.0051655923	0.0013255716	0.0021793125	0.04045322	0.39394832	0.556928
t	9.05236e-06	7.3204465e-05	0.0030883034	0.23831469	0.28926697	0.46924776
i	3.5062974e-05	6.3216266e-06	3.9235572e-05	0.00543763	0.5381075	0.4563742
</S>	0.037759602	0.004903174	0.00035574072	0.014004685	0.13218418	0.8107926
