 	non	mi	aspetti	che	non	vengo	</S>
m	0.9764466	0.023375373	0.00016390903	1.2277395e-05	8.800259e-07	6.3681205e-07	3.9926834e-07
ì	0.0006942435	0.076652	0.8419087	0.0797476	0.0008866381	6.109981e-05	4.9806516e-05
m	0.9939328	0.004556205	0.0012645008	0.0002025064	3.828175e-05	2.374205e-06	3.3471538e-06
e	0.009747047	0.6468672	0.26461184	0.0714925	0.0051410496	0.00017352516	0.0019669645
m	0.73994404	0.18056232	0.061817005	0.00863092	0.008669065	0.00026249932	0.00011417386
ì	0.00020636951	0.013653215	0.84272754	0.14010882	0.0032004241	3.7134843e-05	6.642946e-05
n	0.014769514	0.054397468	0.1323817	0.17956592	0.61392134	0.0040538674	0.00091021584
e	0.0009213972	0.8378819	0.103963554	0.05504596	0.0013090849	0.00013207842	0.0007460257
k	0.0002862619	0.00024034875	0.1914997	0.6332464	0.16924676	0.003464577	0.0020159057
a	6.095666e-05	0.018695837	0.2932008	0.6487739	0.034363694	0.0018610742	0.0030436288
e	0.003449523	4.4381373e-05	0.0031424847	0.14578603	0.83970195	0.0052367505	0.002638914
n	9.319147e-05	4.8285812e-05	0.0076023787	0.7001733	0.27068654	0.011529113	0.009867121
è	7.0470546e-06	0.00042372613	0.026210906	0.616934	0.25479907	0.04378313	0.057842143
r	0.35746604	0.0004230281	5.310228e-05	0.0065307245	0.58073586	0.02889876	0.02589248
k	2.5579113e-06	0.00013772617	0.010768783	0.86283475	0.032589912	0.01143982	0.08222637
u	2.5772633e-05	0.00082900963	0.00072028907	0.05453203	0.14370207	0.4024832	0.39770764
m	0.0213596	0.0014603278	0.0011852357	0.0031495737	0.27662012	0.37662655	0.3195986
e	0.0014054612	0.0021829247	0.017466452	0.084792376	0.0473449	0.110389695	0.7364182
</S>	0.91962844	0.0014658897	0.00010964039	2.9257339e-05	0.018651545	0.023651224	0.03646408
