 	ho	cosa	a	fare	</S>
è	0.9955901	0.0034575444	0.00010197675	0.00016640208	0.0006841422
c	0.11132802	0.70799804	0.13405512	0.03793066	0.008688093
h	0.2067617	0.66217875	0.042196404	0.016316274	0.0725469
o	0.41190633	0.5570579	0.013604626	0.0024444216	0.014986698
t	0.0010036129	0.35886046	0.24077982	0.3206981	0.07865808
i	0.03617967	0.8273971	0.06582235	0.010701791	0.059899073
k	0.0063415836	0.046746112	0.68533576	0.127587	0.13398957
à	0.018852416	0.059112612	0.35095736	0.09095109	0.48012656
i	0.0035501388	0.002098633	0.16808683	0.73561543	0.09064895
</S>	0.1410279	0.01053876	0.053804163	0.30435976	0.49026942
