 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
t	0.9916638	0.007984936	0.00020010161	8.369046e-05	6.0219532e-05	6.960142e-06	3.0010415e-07	1.0050927e-07	2.7102933e-08
a	0.9186863	0.0809189	0.00035918623	2.1268732e-05	8.746444e-06	5.497994e-06	5.2528208e-08	7.5930295e-08	1.7171041e-08
p	0.07642871	0.92180467	0.0016427875	0.00011930779	4.4545022e-06	4.4273246e-08	1.4559722e-08	7.712931e-09	6.322776e-09
e	0.5386481	0.0609146	0.28872302	0.09049092	0.017683603	0.0034771967	3.660975e-05	1.6960796e-05	8.865011e-06
d	0.09663149	0.89239854	0.006812611	0.004041134	0.00010858795	7.3513847e-06	2.3045128e-07	5.4438023e-09	7.520196e-09
ì	0.13140167	0.2311061	0.433295	0.116552845	0.06329137	0.023594074	0.00032966692	0.00031554987	0.00011370363
a	0.0012056844	0.07515369	0.27475688	0.6412295	0.0067235786	0.0008756885	5.1843082e-05	1.3134844e-06	1.8011768e-06
m	0.00044835536	0.19965741	0.73034215	0.066804565	0.0026399828	9.757412e-05	5.8708e-06	3.0182562e-06	1.1044675e-06
i	0.0018796433	0.004371777	0.53213584	0.19225928	0.1781229	0.087749146	0.0014007636	0.0016645239	0.00041614327
n	0.0006471612	0.015957832	0.5577084	0.40613365	0.018296843	0.0012113964	3.923586e-05	2.3336827e-06	3.201545e-06
c	0.0001175455	0.00018116018	0.67013043	0.18971047	0.09612995	0.042815704	0.0003812021	0.00028937776	0.00024411919
i	0.0013284843	0.0004168732	0.055449754	0.75258666	0.18291798	0.006306883	0.0006979395	8.2298524e-05	0.0002131378
à	0.004058522	0.00039758673	0.289094	0.6417215	0.06298213	0.001684557	5.5322478e-05	2.917519e-06	3.4165803e-06
e	0.0004726546	0.00087710115	0.29708025	0.58368254	0.10544016	0.01155287	0.0005778776	0.0002080288	0.00010846232
n	0.0003570723	0.0003353057	0.058933686	0.5503992	0.301356	0.08072919	0.0052275704	0.0014319799	0.0012299971
i	8.6938935e-06	6.7552514e-07	0.009779615	0.02099333	0.40105045	0.5330875	0.014029402	0.015964182	0.0050861356
n	0.02976998	0.0015652624	0.0042773513	0.11305969	0.56358564	0.2510967	0.03272194	0.0013828287	0.002540604
d	1.6459406e-05	5.131597e-07	0.001546783	0.015648229	0.37460852	0.56601053	0.0195867	0.012955256	0.009627088
ì	3.1416758e-07	1.1774663e-06	0.0006698551	0.0093704965	0.089318156	0.45711774	0.23997842	0.0908792	0.112664565
n	0.022244494	0.0021345604	0.00096815877	0.008659979	0.07070708	0.8545532	0.031981036	0.0037137077	0.0050376966
n	6.4937244e-06	7.956657e-06	0.0015044161	0.0038792947	0.32734895	0.57266307	0.030431008	0.038836386	0.025322463
u	1.1908736e-05	4.704183e-07	1.3441578e-05	0.00055664533	0.04543385	0.75230956	0.09999132	0.049613003	0.0520699
t	0.008508897	0.00070351205	0.0009211018	0.00261554	0.019138668	0.248132	0.6155199	0.023823773	0.080636606
t	1.8738663e-05	8.4892804e-07	7.41342e-05	0.0001798362	0.011484201	0.7718964	0.0786253	0.095684014	0.042036556
e	4.116409e-06	3.13431e-07	3.2335217e-06	7.8500656e-05	0.0015243189	0.14880273	0.5209849	0.11527615	0.21332578
m	0.0004567144	6.364913e-05	0.0002194209	0.0016280501	0.006705432	0.020625683	0.78073406	0.03490159	0.15466535
a	0.0013714209	1.7202177e-05	0.00032294728	0.0011047793	0.005120896	0.07817737	0.17624633	0.38097212	0.35666695
n	0.0066173063	0.0009913117	0.00017959367	0.0007668932	0.00145815	0.002347237	0.64338744	0.069024704	0.27522734
i	9.4208925e-05	8.519931e-06	8.717884e-06	5.483358e-05	0.00046452877	0.0363704	0.23462583	0.3546101	0.3737629
c	0.0017119809	0.0007430094	0.0003500355	0.0011797182	0.0019121016	0.0018827876	0.54537606	0.08823531	0.35860902
h	0.000100931305	4.8776456e-06	5.202003e-05	8.3411906e-05	0.0006188904	0.011281639	0.038090535	0.6306454	0.31912223
ò	3.9301602e-07	1.902439e-06	2.475539e-05	0.00013415069	9.2027265e-05	0.0010391626	0.010466105	0.587153	0.40108845
t	0.0045028455	0.00254941	0.0026265867	0.013416374	0.013387183	0.019464495	0.05250184	0.4987434	0.39280775
t	2.9535782e-05	3.2835035e-06	2.9098568e-05	2.0161295e-05	0.00013918658	0.0075479476	0.033000983	0.6863845	0.2728453
o	3.9492134e-06	1.036264e-06	1.6066205e-06	6.297454e-06	1.3378122e-05	0.0006235334	0.019386606	0.5269125	0.45305112
</S>	0.0005525059	0.00025172927	0.0006418062	0.0034420653	0.0077669555	0.00522008	0.051056605	0.2692415	0.6618268
