 	non	aveva	dove	a	stare	</S>
e	0.98097813	0.01893714	8.2879815e-05	9.737357e-07	2.3538261e-07	6.1845674e-07
n	0.77835786	0.21415113	0.0067991368	0.00025658694	0.00038803782	4.7278132e-05
ì	0.09225769	0.90274674	0.0048807445	9.833372e-05	9.394347e-06	7.094756e-06
c	0.009243623	0.92697626	0.06268286	0.00085853314	0.00010310629	0.00013556596
h	0.036041427	0.93219143	0.028784335	0.0010774594	0.0012367549	0.00066856586
e	0.18172692	0.7822812	0.031277195	0.0023701636	0.0013600389	0.0009844204
p	0.0013102506	0.025439447	0.8886089	0.06869722	0.010994217	0.0049500596
u	0.13725446	0.06251539	0.66759384	0.11717368	0.007527672	0.007935005
s	0.03920943	0.012478479	0.12395827	0.7329821	0.025449887	0.06592182
t	0.00047442233	0.0025223463	0.016130127	0.67806345	0.14623944	0.15657021
a	0.0014214129	0.0019320581	0.007080478	0.551209	0.20617534	0.23218176
t	0.012893954	0.041107558	0.0015502159	0.33726698	0.060775686	0.5464056
ì	0.0003212528	0.00070285663	0.001010235	0.402415	0.40154555	0.19400519
</S>	0.54048127	0.0031237039	3.073173e-05	0.019108767	0.25787956	0.17937599
