 	puoi	non	parlare	di	questa	cosa	con	Anna	</S>
s	0.76017326	0.20064995	0.032971017	0.0050337184	0.0011355031	2.957582e-05	4.015583e-06	2.4451858e-06	5.0185906e-07
ò	0.9745218	0.024814308	0.0006376577	2.0274347e-05	5.323624e-06	3.6396776e-07	7.036216e-08	9.044715e-08	2.2930118e-08
z	0.9407475	0.051000822	0.008203695	2.9589622e-05	1.2656429e-05	4.686556e-06	2.4224207e-07	1.232918e-07	7.213029e-07
i	0.7993206	0.09878507	0.081260905	0.006946816	0.010620588	0.0023086825	0.0002997142	0.00026195965	0.00019566281
m	0.35042447	0.5698712	0.07864459	0.0009831792	6.425236e-05	1.0836961e-05	1.0508087e-06	1.8211621e-07	1.8497425e-07
i	0.029292423	0.15995096	0.72428954	0.06694382	0.017714195	0.0014018829	0.00029614317	7.654137e-05	3.448602e-05
n	0.008845608	0.26461238	0.70842725	0.017623395	0.00044244388	4.293346e-05	5.4865336e-06	6.806619e-08	4.4075463e-07
o	0.0028018495	0.2199199	0.6175063	0.11356342	0.04325754	0.0023951186	0.00035481292	0.00010754228	9.3464834e-05
m	0.025002116	0.076160684	0.8742994	0.02231503	0.0019488638	0.0002532785	1.6453938e-05	2.2932159e-06	1.9075392e-06
i	0.0024321878	0.013303384	0.6976684	0.20463817	0.07779932	0.0032021585	0.0005384034	0.00025597546	0.0001620065
l	0.003497189	0.022769919	0.95032275	0.022384644	0.0009646057	5.7201185e-05	2.895139e-06	2.4950435e-07	4.4319668e-07
ì	0.00044159635	0.0073603676	0.41711554	0.3501585	0.21322083	0.008734654	0.0013772323	0.0011650892	0.00042610546
s	0.0056408904	0.05067665	0.8635671	0.06811006	0.010199712	0.001673825	7.969707e-05	3.533138e-05	1.6748068e-05
i	0.000527438	0.0043706037	0.7306398	0.13532528	0.12074243	0.006087579	0.0006281931	0.0011613629	0.00051735237
a	0.008714449	0.0125917895	0.024771212	0.68455154	0.24206422	0.025093196	0.0017156682	0.00022634008	0.00027162
t	0.0066785854	0.002021554	0.00078302453	0.41027573	0.4404692	0.12744676	0.01107445	0.00047278	0.0007779957
ù	1.9795643e-06	7.951955e-06	0.00082914595	0.32038015	0.6006062	0.05102324	0.01581329	0.008971111	0.0023669782
t	0.007986654	0.003283648	0.0007961812	0.15998723	0.6144605	0.19914739	0.010933445	0.0017952183	0.0016097191
t	1.4231765e-06	2.013396e-06	0.002367884	0.21272933	0.6815192	0.074971795	0.014086568	0.008200379	0.006121316
o	1.9960055e-07	2.821312e-07	1.0141043e-05	0.10964436	0.66536194	0.14698562	0.04899149	0.013082519	0.01592339
p	0.0004665441	6.272193e-05	1.9525009e-05	0.006228216	0.5105642	0.41241717	0.06505963	0.0006328218	0.0045492398
r	8.433506e-06	1.2933455e-05	6.826826e-05	0.008164496	0.7861842	0.13004796	0.033661224	0.026224088	0.015628355
à	2.0028757e-07	2.2892864e-06	3.741476e-05	0.0025101674	0.2993932	0.40282995	0.16733588	0.04683552	0.08105536
m	0.0017659585	0.0006167949	0.0003164251	0.0033391158	0.15853564	0.53899264	0.26600233	0.0052734558	0.025157673
m	3.9321694e-06	1.739138e-06	7.749291e-05	0.0020096195	0.508627	0.23736148	0.08322547	0.1421224	0.026570842
a	0.00012945718	0.0001092641	0.0001835478	0.0010636501	0.023893736	0.061793864	0.2851157	0.5057487	0.12196217
m	0.0030555988	0.0003549785	0.0001421047	0.00075435307	0.0038757976	0.06547455	0.73057777	0.040093318	0.15567155
e	0.00023136377	3.720248e-05	3.228086e-05	0.0011740169	0.008811183	0.020880042	0.09607951	0.35916764	0.51358676
t	0.0031662276	0.0009305204	0.00028591815	0.0004437925	0.00065540755	0.005299037	0.17334035	0.087390386	0.7284884
i	1.6141143e-05	3.7176956e-06	3.3197439e-06	3.2155833e-05	0.0011468807	0.035082284	0.13160934	0.5189795	0.31312662
n	0.0093439	0.004117926	0.0040407125	0.0042252876	0.004694198	0.00837946	0.09699033	0.39165017	0.47655797
A	1.15578805e-05	2.5652441e-06	1.805825e-06	1.3814356e-05	0.00010044846	0.0018289902	0.028943216	0.7403851	0.22871234
n	0.020144554	0.01070992	0.011936254	0.001798369	0.0019368901	0.002035628	0.010871213	0.68236625	0.2582009
n	3.5675687e-06	3.1092486e-07	1.6024536e-06	3.9009985e-05	0.00038977506	0.0044922624	0.13348034	0.57617414	0.285419
a	4.781408e-07	1.1501636e-06	1.8431377e-06	7.0710503e-06	1.3639222e-05	0.00010652634	0.0066589485	0.6941911	0.29901922
</S>	0.0034435764	0.0025528865	0.005555115	0.014891033	0.019893974	0.03894167	0.15372644	0.083459504	0.67753583
