 	l'	ho	sentito	quando	veniva	</S>
t	0.9946371	0.0043963543	0.00045713654	0.00046946038	3.54157e-05	4.6292007e-06
o	0.71593	0.27129978	0.0070638284	0.005627523	3.374352e-05	4.5251072e-05
n	0.013226631	0.9208035	0.055873338	0.009651161	0.000389519	5.5836124e-05
ì	0.010435913	0.9336337	0.051903546	0.0038363268	9.368069e-05	9.686464e-05
k	0.00042190865	0.5777016	0.3684713	0.05235837	0.000967153	7.969111e-05
u	0.070681706	0.3504169	0.18986142	0.38076013	0.002429759	0.005850101
s	0.000252267	0.14227235	0.5633515	0.29256245	0.00079201744	0.00076941523
a	0.04527133	0.07721231	0.38165697	0.45603406	0.0041576615	0.035667744
m	0.0040507624	0.021176923	0.044406414	0.8766962	0.035833236	0.017836431
ò	0.041090623	0.007837871	0.035689052	0.55108094	0.024640398	0.33966106
t	0.0014426266	0.026450975	0.019426405	0.87529063	0.056092154	0.021297157
t	6.101208e-06	9.244633e-05	0.013852578	0.85913783	0.014336015	0.112574965
e	0.0016787286	4.244003e-05	0.001097595	0.24624373	0.36939064	0.3815469
è	0.01660944	0.004226846	0.00041753016	0.039733857	0.74767864	0.19133373
r	0.0015975247	0.00014825593	2.4302493e-05	0.009709139	0.82667935	0.16184136
k	5.9306105e-05	0.0003277533	0.0003398942	0.02431272	0.33105734	0.643903
a	0.0007590501	0.0013632459	0.00042367572	0.0020218221	0.4210325	0.5743997
t	0.055722803	0.01617493	0.0027781883	0.0032384675	0.110684305	0.81140137
o	0.0011546265	6.629472e-05	2.239651e-05	6.689577e-05	0.30901676	0.68967307
</S>	0.08735242	0.015329942	0.0029231939	0.001745422	0.31800798	0.57464105
