 	mia	sorella	quest'	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.9733738	0.021127224	0.0045314194	0.00092082977	3.3163546e-05	1.1742453e-05	1.4139748e-06	3.2913968e-07	5.600192e-08	5.3893103e-08
d	0.99890804	0.0005416658	0.00049802376	5.032961e-05	1.3726839e-06	3.921577e-07	9.745373e-08	6.03129e-08	3.8095633e-09	1.717777e-08
r	0.55505764	0.40497503	0.034416933	0.0041559986	0.0010944341	0.00021364701	8.246022e-05	2.4163521e-06	2.6040766e-07	1.1590192e-06
e	0.92840457	0.07063684	0.0008484888	0.00010047325	7.0620226e-06	2.2048878e-06	2.7796727e-07	1.1703985e-08	1.205054e-09	7.9869835e-09
f	0.27353254	0.7244633	0.0017915365	0.00016719807	3.2604108e-05	1.1593422e-05	1.1795441e-06	1.0070253e-07	2.4932507e-09	1.544933e-08
f	0.035585288	0.82146084	0.12328707	0.0154104205	0.0034880415	0.000541845	0.00020488894	1.1993969e-05	2.442637e-06	7.170387e-06
ì	0.0022895136	0.18479244	0.54774445	0.2427312	0.017468814	0.0046180645	0.0002918879	4.3100383e-05	7.999914e-06	1.2574162e-05
m	0.0014353478	0.90652394	0.059408866	0.027418911	0.00413743	0.0009405282	0.00013063432	3.937959e-06	2.4720862e-08	3.6679583e-07
m	0.001042767	0.16700618	0.51646	0.18745464	0.07773585	0.017505584	0.02263999	0.0073362608	0.0017728322	0.0010458803
u	0.0011827988	0.7755694	0.1941364	0.02120785	0.0061803297	0.001146679	0.0004937824	5.8082136e-05	1.0886616e-05	1.3703535e-05
f	0.0013381933	0.2714126	0.6278171	0.07836484	0.01747026	0.0033411772	0.00023370988	1.5729036e-05	6.8361095e-07	5.6811355e-06
ù	0.00018046894	0.031888492	0.6840468	0.20556436	0.06366496	0.008782819	0.005128932	0.00047688896	9.5600946e-05	0.00017075898
e	0.01363922	0.008725669	0.67759794	0.27099937	0.025519555	0.0032186063	0.00028809102	8.908405e-06	3.565653e-07	2.245061e-06
p	0.0030679249	0.0033940573	0.45575616	0.42721766	0.08526696	0.023209041	0.0019582207	0.00010439447	2.6681842e-06	2.2858816e-05
p	6.2845225e-05	0.0021743742	0.61583394	0.27680516	0.08443916	0.011859262	0.007304809	0.0009026186	0.00022052092	0.0003972895
ò	1.13665865e-05	0.00016088119	0.13099791	0.7158743	0.10888835	0.034431476	0.0068387673	0.0015026161	0.00052216655	0.00077204633
r	0.13692303	0.0023984779	0.11015431	0.5024074	0.20627016	0.03725735	0.0044091213	0.00014317958	4.805706e-06	3.2176886e-05
k	0.0002037063	0.0050754845	0.2383062	0.4804181	0.22238143	0.02986882	0.020605134	0.0017489891	0.00034389162	0.0010481938
e	0.0002098985	0.0018842879	0.03216301	0.42510128	0.35524133	0.10679276	0.05693637	0.015427742	0.0033172371	0.0029260672
t	0.040547345	0.00037412968	0.00041609685	0.053040083	0.41796255	0.41588625	0.06702044	0.003624376	0.00011110411	0.0010176573
e	1.1299501e-05	4.5439385e-05	0.004204032	0.17180198	0.4660532	0.22647454	0.11720639	0.0062740333	0.0013820865	0.006546986
e	0.0013823481	3.05229e-05	2.1567492e-05	0.004893844	0.1893642	0.7082535	0.0905303	0.0046106316	0.00011897083	0.00079407246
t	0.0009903271	3.6630103e-05	3.314592e-05	0.0019508557	0.08352301	0.74720997	0.15281616	0.010924357	0.00031231824	0.002203104
è	3.6423125e-06	1.3961267e-05	2.2753191e-05	0.0051281224	0.14143012	0.45702994	0.26226208	0.076975524	0.025045168	0.032088663
l	0.0013610272	4.1090057e-05	5.5127803e-05	0.0011065115	0.039721444	0.62649125	0.2817219	0.040255338	0.0024045391	0.0068417983
i	4.25328e-06	3.9168485e-06	0.00027109106	0.023607535	0.23042585	0.11705668	0.24685277	0.28121468	0.047642708	0.05292052
n	0.000505904	6.139443e-05	0.00010252728	0.00046549915	0.010202603	0.23358236	0.60726815	0.118271545	0.0067354105	0.022804556
a	2.1301776e-05	2.1727055e-05	1.1647858e-05	0.00021680866	0.030111842	0.14538276	0.500093	0.17122729	0.05955729	0.0933564
d	0.00072144164	0.00011428699	0.00023363109	0.0004441724	0.0015879264	0.09430872	0.41989022	0.38157132	0.031391494	0.06973679
i	4.7363814e-05	3.452307e-05	7.774835e-05	0.00035561607	0.004591723	0.010770794	0.23771505	0.2547262	0.189698	0.30198294
v	0.003979283	0.00034448318	0.00044451907	0.00062448555	0.0007567757	0.027295835	0.1295577	0.60178053	0.1023159	0.13290052
e	4.1183415e-05	2.7614558e-05	8.011551e-05	0.00024225182	0.0019287246	0.0046352935	0.13207953	0.2351664	0.24299401	0.38280493
n	0.005341449	0.00067662727	0.0009806113	0.0013912942	0.0014838496	0.029240837	0.061310746	0.38520852	0.25613135	0.25823474
