 	entrò	da	qui	</S>
m	0.99300873	0.0032251878	0.0014090661	0.0023571553
b	0.9389492	0.05513927	0.0034844514	0.0024271016
ì	0.7146772	0.23350433	0.030593617	0.021224907
k	0.023828859	0.80724347	0.13835935	0.030568276
e	0.06456194	0.18561734	0.2802317	0.46958902
a	6.498954e-05	0.32503468	0.6588864	0.016014015
p	0.0004267858	0.24076061	0.69075215	0.06806039
ò	0.0012288279	0.15049154	0.22435367	0.623926
t	0.0006484791	0.018718693	0.81663597	0.16399682
t	0.00013024888	0.006836393	0.5861452	0.40688813
u	8.7661916e-05	0.0014349185	0.48869634	0.5097811
</S>	0.04665641	0.021732349	0.080122605	0.85148865
