 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
m	0.99220264	0.006818099	0.00031896794	0.00051585434	0.00012256997	2.0946485e-05	7.811496e-07	1.17167126e-07	4.8906518e-08	6.078231e-08
ò	0.9388846	0.05969738	0.0011377671	0.00021352991	5.5402532e-05	1.08290205e-05	4.5836975e-07	2.4118904e-08	3.0412701e-09	1.7987142e-08
t	0.91165996	0.08771826	0.00059442304	2.6611166e-05	2.5339017e-07	4.1338723e-07	1.14961104e-07	1.0166459e-08	1.0529462e-09	7.498536e-09
t	0.13950646	0.5891376	0.23302944	0.03149279	0.006358637	0.0004083215	3.1695745e-05	8.07456e-06	2.1233448e-06	2.4865609e-05
i	0.09887911	0.8518479	0.030077912	0.012963828	0.004952735	0.001260718	1.5702664e-05	8.2264387e-07	2.6720275e-07	9.860943e-07
ì	0.014175958	0.96847063	0.017099796	0.0002502748	2.0362766e-06	1.0187877e-06	1.9721152e-07	6.7023618e-09	1.2874316e-09	9.462541e-09
r	0.0014498043	0.97489715	0.019107291	0.004508156	2.5214122e-05	1.0555762e-05	1.1784897e-06	1.8898159e-07	2.2280993e-08	3.3457638e-07
t	0.008265423	0.6819173	0.21993664	0.078613624	0.010508387	0.00059947284	6.7958266e-05	3.647312e-05	4.9249184e-06	4.985755e-05
e	0.0013292473	0.7910042	0.16234517	0.017142136	0.022503534	0.005647294	1.7842243e-05	2.109197e-06	1.4086427e-06	7.116973e-06
è	0.0004072481	0.40504137	0.5740346	0.020199543	0.00023550613	7.548535e-05	5.824409e-06	1.5113578e-07	2.938797e-08	3.1218465e-07
t	0.0002081908	0.5142444	0.40185016	0.082726	0.0007379442	0.00022492158	6.013177e-06	5.571671e-07	1.08128646e-07	1.7121364e-06
t	2.0363943e-05	0.30307397	0.4629403	0.19792792	0.03392255	0.0013941947	0.00032847925	0.00019012569	2.1958487e-05	0.0001801788
a	5.1784602e-05	0.13733993	0.47837338	0.1415016	0.19322705	0.048825126	0.00039443863	6.546412e-05	4.6436067e-05	0.00017481223
s	0.0021959774	0.016942354	0.86993307	0.108446635	0.0019656885	0.00047325657	4.010905e-05	8.898921e-07	1.6274689e-07	1.956459e-06
e	1.5746201e-06	0.019303272	0.58833486	0.12757047	0.2327814	0.031093957	0.0006752581	7.316221e-05	1.9098103e-05	0.0001469737
o	0.02264961	0.00418845	0.35869816	0.5956276	0.01452089	0.003914507	0.00038016314	9.68597e-06	1.3667272e-06	9.610924e-06
G	0.02441365	0.0012499018	0.13070995	0.81809855	0.019280106	0.005159778	0.0010412493	2.5592459e-05	2.3314947e-06	1.9041821e-05
i	1.2586678e-05	0.0024472063	0.368742	0.22579299	0.34545818	0.05380523	0.0021277682	0.0006071279	0.00025431378	0.00075255823
u	0.09960962	0.00183671	0.09264719	0.7620289	0.028389808	0.015184525	0.0002841928	8.196988e-06	2.146661e-06	8.797574e-06
v	0.029578425	0.00021299603	0.010550677	0.8959865	0.049198676	0.009899447	0.0044260565	8.0241516e-05	7.738547e-06	5.9320344e-05
à	7.382148e-06	0.00021416447	0.051335867	0.2774299	0.55815583	0.10394349	0.0046380367	0.0015862961	0.00074959773	0.0019394675
n	0.073279426	0.002484445	0.017922482	0.4403721	0.15120023	0.31378427	0.0008163287	6.5343476e-05	1.772804e-05	5.7692156e-05
n	9.379366e-06	0.00017515823	0.24529189	0.5358025	0.19868794	0.016935859	0.0011888912	0.0008063289	0.00011623406	0.0009858549
i	1.3225116e-06	6.366441e-07	0.002007298	0.061785307	0.7121493	0.21763949	0.0039590723	0.0008299838	0.0004433204	0.0011840811
e	0.05034141	0.0014450419	0.0027581856	0.3993532	0.3662812	0.15210332	0.02574127	0.00091604184	0.00011393842	0.00094637927
A	0.029271908	0.00018617255	0.00012900692	0.05866328	0.5279026	0.270751	0.10228872	0.0054952316	0.0005200744	0.004791993
n	0.009248594	1.4205026e-05	2.4931833e-05	0.034595203	0.4864357	0.3420646	0.07718766	0.026058476	0.0020671997	0.022303477
n	3.4691798e-06	0.000104250634	0.00407045	0.40756673	0.48366386	0.0561911	0.017747995	0.018477747	0.002933407	0.00924102
a	1.3803077e-07	3.2234567e-08	2.270424e-06	0.0018497389	0.5863593	0.3774637	0.019247316	0.005671294	0.0028400354	0.006566142
a	0.0095026875	0.00017289438	0.0001739489	0.01151166	0.16701555	0.6983687	0.09749366	0.0067146793	0.0010777485	0.007968451
n	0.008224684	0.000126856	6.596761e-05	0.0020099403	0.10152851	0.61375743	0.22866997	0.020884981	0.0028698358	0.021861862
k	3.505388e-06	8.15767e-07	7.277512e-06	0.00051717967	0.32515422	0.5385206	0.05796332	0.03412704	0.016593281	0.027112765
ò	1.5934941e-07	2.3885892e-07	5.0682324e-06	0.0005338535	0.020991731	0.2730309	0.1576076	0.19878109	0.16424428	0.18480505
r	0.031055326	7.6032746e-05	2.4446479e-05	0.000535614	0.04046687	0.8592976	0.050515182	0.008209826	0.0035456473	0.0062735365
a	5.032702e-06	4.5903424e-05	7.3137344e-05	0.0021749747	0.43685973	0.5029327	0.02336646	0.014741091	0.005162819	0.014638069
ì	0.0084599815	9.4148934e-05	0.00012173511	0.0011945029	0.01048967	0.34403375	0.2937047	0.15073732	0.047997028	0.14316726
c	0.01633933	0.00011471129	0.00010001118	0.0029376384	0.010014701	0.42300823	0.17621504	0.17581552	0.028703613	0.16675115
h	2.5378318e-05	0.00065141177	0.0009209905	0.0033520823	0.046488866	0.15263186	0.09069982	0.3372978	0.058007706	0.30992413
e	6.3921766e-06	2.5689867e-05	3.0782187e-05	6.64314e-05	0.0014422822	0.0411181	0.010957796	0.32696113	0.3100392	0.30935222
n	0.00966857	0.00028384544	0.00048095768	0.003720392	0.0038815446	0.032061525	0.022429816	0.36610678	0.18929502	0.3720715
a	3.8407226e-05	1.06520265e-05	6.410258e-06	2.0546659e-05	0.012509063	0.13504057	0.061964083	0.30653757	0.16377883	0.32009384
m	0.0025934854	0.00013112914	0.00034727892	0.0010327768	0.00075219205	0.0036195857	0.02346853	0.42928463	0.29296005	0.24581033
a	4.563112e-05	2.6150426e-05	5.142456e-05	0.00016240987	0.033130128	0.20009655	0.04182532	0.19404717	0.13497569	0.39563957
r	0.002541643	0.0002152875	0.00062045886	0.0015857155	0.001280517	0.0022337872	0.0070080706	0.22593234	0.49624148	0.26234066
è	2.4932808e-05	1.6002317e-05	1.9883857e-05	5.99824e-05	0.0017110528	0.022491507	0.0062680063	0.22895393	0.26255053	0.47790417
s	0.004057173	0.0003388613	0.0011607247	0.013011612	0.008448331	0.017350264	0.0028779325	0.11781639	0.52192855	0.3130101
s	9.785945e-05	2.0544523e-05	5.8986243e-06	0.00013199484	0.00025201568	0.0029376096	0.0022847515	0.42550534	0.17424309	0.3945209
i	3.398716e-07	1.7904647e-07	4.125205e-07	1.7716188e-06	9.339169e-05	0.00070014846	0.00077025295	0.20068997	0.54308385	0.25465968
</S>	0.010556089	0.0005443547	0.0012331452	0.00955052	0.0067235664	0.014273728	0.00406629	0.16424018	0.38990694	0.39890522
