 	avete	cucinato	le	verdure	</S>
è	0.97753817	0.021640422	0.00061146583	0.00019938809	1.0550466e-05
c	0.99647754	0.0031881027	0.00029889093	7.9147426e-08	3.5359488e-05
h	0.85781914	0.11609297	0.02210282	0.00017311556	0.0038120688
e	0.750564	0.24595064	0.0033905536	9.7817e-06	8.511738e-05
t	0.29531372	0.47799623	0.22519805	5.3094605e-05	0.0014389339
e	0.032608308	0.88371855	0.08093518	0.0018353276	0.00090262154
m	0.00924026	0.7813449	0.20788656	8.304069e-06	0.0015200328
a	0.012390698	0.480295	0.4947925	0.011236503	0.0012852373
r	0.026967391	0.1546499	0.78382546	0.00019951114	0.034357853
à	0.00056171906	0.29216585	0.6852073	0.0077698603	0.014295308
t	0.009547246	0.00850882	0.67398375	0.00023370977	0.30772647
a	0.00012424923	0.054971013	0.84319764	0.059576023	0.042131104
t	0.0050764573	0.002798843	0.24012876	0.002523663	0.74947226
a	1.2090349e-05	0.0005728035	0.4744831	0.47789177	0.047040176
l	0.045217544	0.0005581071	0.007937625	0.017591072	0.9286957
à	3.5956764e-05	0.00031186093	0.061435398	0.8907027	0.04751409
c	0.005649067	2.30432e-05	0.00017927495	0.0014376964	0.99271095
h	6.5987433e-06	5.143993e-05	0.007972257	0.95384586	0.03812379
a	5.0159593e-07	1.7931619e-06	5.6958565e-05	0.9704052	0.029535504
n	0.0724182	0.0035802578	0.0016887828	0.05504255	0.86727023
a	3.20242e-05	3.7767928e-05	2.0875263e-05	0.98831326	0.011596047
</S>	0.8917656	0.017828194	0.0022625749	0.04639734	0.041746315
