 	l'	ha	scritta	</S>
t	0.9948639	0.004378472	0.00039751272	0.0003600446
o	0.7779514	0.21087693	0.0065684514	0.0046032746
è	0.0096560875	0.9800361	0.0076252674	0.0026826777
g	0.00085176225	0.98703176	0.0020052725	0.010111335
r	0.33087286	0.47872674	0.12436283	0.06603754
a	0.105013095	0.580024	0.2656881	0.049274817
t	0.0010534984	0.059706807	0.8947736	0.04446615
s	0.0043991827	0.06140381	0.4461519	0.48804516
e	0.035579734	0.023267718	0.09129849	0.849854
</S>	0.051682964	0.04215257	0.39872256	0.50744194
