 	vogliono	girate	</S>
t	0.9552167	0.043375917	0.0014073115
è	0.8753287	0.100003675	0.024667645
l	0.97129595	0.028228378	0.00047565
u	0.46674988	0.34626496	0.18698512
n	0.934999	0.062213805	0.0027871286
e	0.49611518	0.3760352	0.12784965
v	0.028917214	0.9634945	0.0075883097
o	0.048045576	0.39706537	0.554889
t	0.0028182284	0.9755029	0.021678884
i	0.0027261395	0.7284439	0.26882988
m	0.005907938	0.9442677	0.049824372
m	0.0020795828	0.2926661	0.7052543
è	0.0001315876	0.058662772	0.9412056
n	0.0050115115	0.032183353	0.9628051
e	0.0016547202	0.9597765	0.038568746
</S>	0.013740448	0.051691245	0.93456835
