 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.98125	0.01659205	0.0017105314	0.0003000426	1.3323347e-05	0.00011966303	7.211121e-06	2.5752731e-06	3.3070378e-06	1.088949e-06	1.5478112e-07	1.05735616e-07	2.2469257e-08	9.137849e-09	6.3279124e-09	6.5755215e-09
k	0.62204593	0.35491174	9.3666895e-05	0.022849107	7.068682e-05	2.5853195e-05	1.9136858e-06	5.677528e-07	3.5854637e-07	8.730701e-08	5.6539182e-08	1.7147608e-08	1.0232862e-08	3.8837933e-09	2.9832707e-09	1.495641e-08
è	0.30581295	0.6416249	0.03978404	0.00663706	0.0033726397	0.0016492849	0.0006649658	0.00019376539	7.931824e-05	0.0001240898	3.5914847e-05	1.7451328e-05	2.0530408e-06	7.845526e-07	1.7792028e-07	5.783086e-07
c	0.16842479	0.82181007	0.0029239699	0.0059380634	0.0008609961	3.6750633e-05	4.4015655e-06	6.63927e-07	1.4395955e-07	1.0856983e-07	1.9738048e-08	7.861952e-09	3.1098761e-09	9.711469e-10	2.838776e-10	8.411681e-10
c	0.18780375	0.5465896	0.03767115	0.21897133	0.0011702598	0.0045906114	0.0017264675	0.0006108878	0.00021452217	0.00033235605	0.00019966929	6.0561866e-05	2.2695653e-05	1.29523405e-05	7.9300835e-06	1.5204234e-05
i	0.17558944	0.45159546	0.34861535	0.019138275	0.0014558512	0.0020776251	0.0008587328	0.0002965169	0.00012955544	0.00018033918	3.597652e-05	2.13649e-05	3.3300003e-06	1.2019814e-06	4.1535563e-07	5.47445e-07
a	0.01013988	0.7813401	0.09900599	0.024523163	0.07776355	0.006435316	0.00059732934	0.00013771145	3.5249268e-05	1.5259173e-05	4.276964e-06	1.6497754e-06	2.8167432e-07	6.332365e-08	8.763019e-09	1.361993e-07
a	0.00045445806	0.14973146	0.7247929	0.07274142	0.04789344	0.0039642644	0.00034104564	5.6686116e-05	1.28637985e-05	6.8172935e-06	3.1376076e-06	1.2504643e-06	2.1689189e-07	4.985322e-08	4.7832645e-09	9.9799436e-08
r	0.0041207164	0.032212112	0.19225185	0.5198241	0.23429033	0.015282173	0.0013612274	0.00034633523	0.0001204139	9.020192e-05	6.5427084e-05	2.7281505e-05	5.064144e-06	1.3508821e-06	5.834739e-08	1.3962928e-06
è	0.00011752573	0.006514597	0.81371766	0.10424757	0.017709678	0.036081497	0.012308431	0.0036458329	0.0021357578	0.002412899	0.0005862092	0.0003479414	6.9426664e-05	3.1048105e-05	2.0498932e-05	5.3374617e-05
