 	il	cibo	vuole	mangiato	appena	lo	cucini	</S>
o	0.97638047	0.020997912	0.001915515	0.0006497911	5.243971e-05	3.0588496e-06	4.893165e-07	3.1169247e-07
m	0.7409317	0.25669315	0.0020515248	0.00031496727	6.7548826e-06	3.213646e-07	3.6818676e-07	1.2631118e-06
a	0.24716021	0.7292284	0.022889363	0.0006641992	5.577575e-05	1.2610273e-06	3.1309337e-08	6.914671e-07
r	0.09919232	0.89259815	0.008075904	0.00013097677	2.07428e-06	3.8830655e-07	9.2267314e-08	5.1938837e-08
ì	0.07901834	0.8425344	0.069277234	0.008355524	0.0007785324	2.197968e-05	3.9829712e-07	1.3528612e-05
o	0.003218189	0.8621237	0.12546416	0.008679637	0.00040356262	8.9752575e-05	1.2159904e-05	8.832785e-06
e	0.0016035343	0.92362255	0.0701926	0.004356452	0.00020922755	8.722863e-06	3.292139e-06	3.7314676e-06
t	0.010866001	0.5511387	0.39119065	0.04517913	0.0015372353	4.8854865e-05	1.0181777e-05	2.9251412e-05
è	0.00028414789	0.019296855	0.7824814	0.15571113	0.037234526	0.0044332976	0.00015338395	0.00040528932
l	0.002931307	0.005134397	0.672381	0.31311604	0.0056055477	0.00065735006	8.841584e-05	8.598226e-05
i	0.00039818755	0.03999538	0.79874897	0.12488055	0.029634502	0.0041156244	0.00030484246	0.0019218648
f	0.008455171	0.005606131	0.1784109	0.7341841	0.06984716	0.0025827643	0.00022748396	0.0006863599
a	6.5603606e-05	0.00092039345	0.4448587	0.41358718	0.12658827	0.011307895	0.0003408266	0.0023310517
m	0.019341454	0.0009907797	0.01183277	0.67642546	0.27678826	0.01079997	0.0014559047	0.0023653558
è	6.2063664e-05	0.000637995	0.04573956	0.59438336	0.32224447	0.026148353	0.0009451228	0.009839092
n	0.04745171	0.017132703	0.010015171	0.34540015	0.4801408	0.084998906	0.008049005	0.0068114875
o	3.5545083e-05	0.00021694823	0.04044929	0.45047933	0.4442225	0.04926386	0.0016511834	0.01368128
a	0.0004796054	4.0303617e-05	0.00011714428	0.023427038	0.89828783	0.057337135	0.006346881	0.013964011
p	0.00029029796	3.1917112e-05	3.9857106e-05	0.0077678612	0.7494391	0.16880459	0.0233271	0.05029925
p	1.723645e-05	1.3149317e-05	0.00028541862	0.012432243	0.6058501	0.2872004	0.020587854	0.073613554
è	4.5359326e-07	4.7633484e-06	0.00016265486	0.004157407	0.19474287	0.20805293	0.23740551	0.3554734
n	0.03139809	0.0058265035	0.0047365706	0.0025388603	0.15918587	0.61716527	0.13309512	0.04605372
a	7.813857e-06	1.21441e-05	0.000113043614	0.0028003084	0.57985574	0.35013872	0.01747356	0.049598705
o	0.00057106063	0.00011862643	0.00012499373	0.0004933312	0.03792532	0.49432987	0.31852087	0.1479159
m	0.0007846749	0.00032525283	0.00019172118	0.0003722994	0.012022471	0.19553901	0.5578288	0.23293582
a	0.00034853411	2.6447686e-05	2.9835068e-05	9.246215e-05	0.007105151	0.21317446	0.17689781	0.6023253
r	0.0023246016	0.0005352262	0.00046430886	0.00044030618	0.0016568276	0.03589205	0.8621612	0.096525386
è	5.4776054e-05	2.1674588e-05	0.00012882402	0.00018267898	0.0061937952	0.2342228	0.32358494	0.43561053
i	0.006090935	0.0018090137	0.002635425	0.0036808765	0.004513415	0.08584195	0.7276094	0.1678189
</S>	0.002469586	0.0027121492	0.0034156588	0.0037689528	0.0036172734	0.02068335	0.8060087	0.1573243
