 	sto	e	cucino	</S>
e	0.9908631	0.005255956	0.0028401983	0.0010406977
s	0.24282335	0.74623436	0.008691933	0.002250371
t	0.6915267	0.30258918	0.0026756448	0.0032084887
è	0.5085731	0.43711925	0.03931293	0.014994742
c	0.042407114	0.91120213	0.038484808	0.007905891
e	0.28509694	0.6506393	0.009284793	0.0549789
m	0.0037086527	0.71238095	0.27569345	0.008217012
a	0.027191227	0.6702752	0.21260011	0.089933455
r	6.974647e-05	0.024697695	0.96997726	0.005255262
è	0.025889516	0.48578763	0.12500484	0.36331803
o	0.000832012	0.002582503	0.9833297	0.013255741
</S>	0.0011261317	0.0052885716	0.96157587	0.032009378
