 	lo	sentii	che	viene	</S>
t	0.99680364	0.0026745694	0.00024589803	0.00017867929	9.719888e-05
o	0.81470156	0.17767595	0.0067914426	0.0002831772	0.0005478331
n	0.17170744	0.6958736	0.10768227	0.019850116	0.004886491
ì	0.049696937	0.87151706	0.074212275	0.00180459	0.0027690162
k	0.0027116642	0.61141205	0.30783746	0.06848551	0.009553295
u	0.0640789	0.70650667	0.15857078	0.018925779	0.051917817
s	0.00035046734	0.07540518	0.53563243	0.3209704	0.06764151
a	0.00681365	0.1388271	0.6668933	0.05640212	0.13106385
n	0.0043030553	0.018483495	0.1591843	0.6974225	0.12060664
a	0.0027718667	0.005147499	0.3118215	0.18164846	0.49861068
r	0.021117222	0.0027415042	0.0048991265	0.8822298	0.08901227
t	0.0004181101	0.00096287514	0.008285828	0.1383823	0.8519509
i	6.294327e-05	1.4432521e-05	0.00056692556	0.42536455	0.5739911
</S>	0.15590766	0.015377426	0.0058943057	0.2637276	0.559093
