 	il	morto	vuole	pianto	</S>
o	0.343980865	0.41536503	0.0080288295	0.0316207273	0.201004549888
p	0.209361097467	0.694064626667	0.00607375933333	0.0227648573	0.0677357108883
e	0.110468351622	0.807153642222	0.0386766176111	0.0202321643	0.0234693232294
s	0.391516277207	0.538347264074	0.0545614722037	0.00756110693333	0.00801398377313
a	0.447646417069	0.483858828025	0.0607828670679	0.00415340141111	0.00355853742104
m	0.16312899369	0.751773179342	0.0711668310226	0.011621448937	0.00230956844035
m	0.380329777897	0.567960618114	0.0377813431075	0.012771170039	0.00115710726012
è	0.444241240299	0.478033317705	0.0632899318025	0.007428789073	0.00700670630004
n	0.1526793045	0.676364082568	0.109145888601	0.00996779535767	0.0518428854333
o	0.0520697125815	0.477918023523	0.374489987534	0.0222842004526	0.0732380618111
t	0.0175037268254	0.167574358841	0.753957615845	0.0229740600842	0.037990255937
è	0.00598669225547	0.0594145820137	0.746298725282	0.129056401961	0.0592436073123
l	0.00224108298216	0.264644991405	0.457183995094	0.19401791532	0.0819120307708
i	0.000987479710451	0.332282245568	0.252502765031	0.349193719773	0.0650337939236
g	0.000343917316548	0.112058794289	0.148834071677	0.693658529924	0.0451047069745
l	0.250280065002	0.058888652763	0.087413630559	0.585320384641	0.0180972883248
a	0.333577452337	0.0398766119977	0.107293016853	0.481034946214	0.0382179651083
m	0.111913331849	0.0138532065759	0.132045732284	0.697518515405	0.0446692017028
m	0.198574521016	0.0214856843586	0.162266670761	0.601582371802	0.0160907337476
è	0.226790547505	0.0238640519529	0.213771383587	0.449282767267	0.0862912044292
n	0.0756496867372	0.00852016605097	0.179379419862	0.593743582422	0.14270711481
o	0.0252196730458	0.00301818659947	0.0780603641873	0.596731730807	0.296970051603
</S>	0.0126098371197	0.00150912782346	0.0400426304437	0.473224795404	0.472613625802
