 	non	aveva	da	stare	</S>
e	0.94784135	0.0415289125	0.0043982139	0.000571915	0.005659605072
n	0.757849196667	0.187234875833	0.0490808000333	0.00392507583333	0.00191005755533
ì	0.371639516889	0.555390691944	0.0674943080111	0.00480993612244	0.000665530566443
c	0.135815247296	0.804005563981	0.0567066706704	0.00199192701881	0.00148059308681
h	0.0537555244487	0.835339471327	0.0933236135568	0.00131597942294	0.0162654376956
e	0.018103351004	0.594663247109	0.351089401186	0.0125666247576	0.0235773538985
n	0.00603497210718	0.246139019703	0.706783853729	0.0293514942525	0.0116906231495
a	0.00201210953058	0.087515048301	0.604416951243	0.290686497418	0.0153693818998
s	0.000674235248581	0.032704626167	0.399637863748	0.549671779139	0.0173115098999
t	0.000232040905027	0.0172016217223	0.554091454583	0.416762423046	0.0117124675666
a	8.11124016129e-05	0.0091466073601	0.467673111528	0.478493344349	0.0446057998555
s	2.97357303082e-05	0.00333483653937	0.200478152176	0.739313868116	0.0568433742852
ì	1.26365716461e-05	0.00141254611979	0.106343836859	0.599787829372	0.292443125762
</S>	6.35806763805e-06	0.000746252019895	0.0551777651295	0.397058224686	0.547011387881
