 	sembra	che	il	ladro	è	entrato	da	qui	</S>
i	0.99714383	0.00123425467	6.13210835e-05	1.93530385e-07	1.3116137e-06	0.00011743621	4.9603099e-05	0.00011727127715	0.00127484652535
f	0.996134143333	0.00116255461	8.23547328333e-05	7.27105983833e-06	9.2120485e-06	0.00144491008	0.000215821730333	0.000481824423817	0.000462003282018
è	0.982895861111	0.01410983659	5.97731932778e-05	9.80928819278e-06	1.18141063667e-05	0.00185428812965	0.000264858293044	0.000602726505816	0.000191082369316
n	0.86538812037	0.12248690353	0.000961152003426	6.18827646443e-05	0.000168011770989	0.0013480510462	0.000692964197281	0.000991613633149	0.00790130147508
e	0.50654273773	0.46419545451	0.0152396566678	0.000112017563548	0.000258352995663	0.0012004471534	0.000853738535094	0.00112356876528	0.0104739986775
t	0.168913978685	0.756185884837	0.0690348755559	0.000116782486516	0.000623261950554	0.0006493293658	0.000581885647698	0.000395972835993	0.00349804850983
e	0.0563278649794	0.589743348279	0.345625941852	0.00420253390217	0.00150738195018	0.000557007465267	0.000640173149233	0.000185624131998	0.00121021000144
k	0.165205111909	0.25398390276	0.391411659951	0.00830792263406	0.00261581071673	0.0621900347551	0.0351092348831	0.0757117188707	0.00546467706715
a	0.201496348207	0.09117884292	0.437732149317	0.0241538792114	0.00760434090558	0.0830638734517	0.0469053634944	0.100924673524	0.00694051229572
o	0.067165488801	0.03549693304	0.771454116439	0.0345827430705	0.0104477499685	0.0283367957972	0.0163270589648	0.0337440880463	0.00244502525524
l	0.029795445762	0.0143049049133	0.59539962548	0.0312442700235	0.0120117359895	0.110780514712	0.107533382255	0.0974850389871	0.00144515923508
à	0.0173392827612	0.00693227334777	0.222928948493	0.290880679008	0.0644843486632	0.139008365737	0.138370848418	0.118868619762	0.00118665600169
d	0.00598116909427	0.00671508065926	0.0958516674977	0.366962195336	0.0864448322211	0.254107989412	0.070799013806	0.0473132066873	0.0658248359906
r	0.00219596056376	0.00902473688642	0.0505487164992	0.124646926945	0.046881999407	0.417169276471	0.110231414602	0.0634686522291	0.17583233533
o	0.000733336127595	0.00566480268881	0.0310893361664	0.0541511931483	0.0403404998023	0.293524922157	0.313317338201	0.0911312974097	0.17004729511
m	0.000245088581074	0.0018971576086	0.0198462540221	0.0305162941161	0.0323587305008	0.389804190719	0.360665322734	0.0822531291366	0.0824138177033
b	0.000152010324891	0.00976137952187	0.018166960974	0.0110479039537	0.0127039008336	0.684763946906	0.181059344245	0.0503539772789	0.0319905002344
ì	0.000120474405384	0.012578524874	0.017891454558	0.0530034688329	0.116491107711	0.555270522302	0.182388718082	0.039771627993	0.0224840097448
k	4.82454962147e-05	0.00456353930133	0.00687778961933	0.0670306197943	0.152203363004	0.461273330767	0.233610852694	0.0426488146643	0.0317433892483
e	2.40359019253e-05	0.00169378839879	0.00258537190911	0.0224042541841	0.052123177168	0.398138847589	0.351386467565	0.117652088888	0.0539919444161
a	8.01206875142e-06	0.00057161565461	0.000913935177703	0.00752076015403	0.0184122957227	0.143080188863	0.538251402522	0.187475919629	0.103765888139
p	3.52468593974e-06	0.000197609794737	0.000343328863801	0.00254944025334	0.00709191518423	0.187416841954	0.451090727507	0.254899689876	0.0964069493797
ò	2.04398608658e-06	7.25246331123e-05	0.000141850589167	0.00140642656311	0.00367264940474	0.199426263318	0.327832935836	0.419728329959	0.0477169544599
t	6.96622112577e-07	3.18060665374e-05	8.11673077223e-05	0.0010229499667	0.00258682745491	0.0817674217727	0.362683411945	0.452710909986	0.0991147994866
t	2.34219912009e-07	1.35378323458e-05	4.13298059074e-05	0.000345257436777	0.000947789989637	0.0412196189242	0.290468510648	0.354365776662	0.312597939829
u	8.00026803797e-08	6.43524622193e-06	2.11310216358e-05	0.000115245313376	0.000318116843546	0.0165325161814	0.144997266216	0.279624802221	0.558384383276
</S>	4.00317086048e-08	3.32565677097e-06	1.18629493179e-05	5.7810955048e-05	0.000161350915273	0.0083407974007	0.086373917108	0.25441195611	0.650638921638
